name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Filip Jørgensen,Chelsea,Manchester City,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30077.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,False,Wolverhampton,,-0.53
Filip Jørgensen,Chelsea,Wolverhampton,2024-08-25,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,32295.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,True,Crystal Palace,,0.88
Filip Jørgensen,Chelsea,Crystal Palace,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,29224.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,False,Bournemouth,,-0.04
Filip Jørgensen,Chelsea,Bournemouth,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,26993.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,False,West Ham,,-0.34
Filip Jørgensen,Chelsea,West Ham,2024-09-21,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25090.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,True,Brighton,,-0.42
Filip Jørgensen,Chelsea,Brighton,2024-09-28,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23275.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,True,Nottingham Forest,,1.2
Filip Jørgensen,Chelsea,Nottingham Forest,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22574.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,False,Liverpool,,-1.08
Filip Jørgensen,Chelsea,Liverpool,2024-10-20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22346.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,True,Newcastle United,,0.67
Filip Jørgensen,Chelsea,Newcastle United,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,21976.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,False,Manchester United,,-0.41
Filip Jørgensen,Chelsea,Manchester United,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,21439.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,True,Arsenal,,-0.32
Filip Jørgensen,Chelsea,Arsenal,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,21249.0,0.0,0.0,0.0,0.0,0.0,,Chelsea,False,Leicester City,,-0.22
,Chelsea,,,,,,,,,,,,,,,,,,,,,Chelsea,True,Aston Villa,,0.66
,Chelsea,,,,,,,,,,,,,,,,,,,,,Chelsea,False,Southampton,,-0.31
