name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty,saves_per_game,last_season_total_saves
Lukasz Fabianski,West Ham,Manchester City,2022-08-07,True,28,0,0.0,0,0,1,0,False,0.0,False,0.0,0.0,0,0,0,2,West Ham,True,Fulham,-1.16,0.0,0
Lukasz Fabianski,West Ham,Fulham,2022-10-09,True,90,1,0.0,1,0,2,0,False,0.0,False,1.0,0.0,0,0,0,6,West Ham,False,Southampton,0.62,0.5,0
Lukasz Fabianski,West Ham,Southampton,2022-10-16,False,90,1,0.0,7,0,6,2,False,0.0,False,1.5,0.0,0,0,0,4,West Ham,False,Liverpool,0.54,2.67,0
Lukasz Fabianski,West Ham,Liverpool,2022-10-19,False,90,1,0.0,6,0,4,0,False,0.0,False,3.0,0.0,0,0,0,8,West Ham,True,Bournemouth,-1.59,3.5,0
Lukasz Fabianski,West Ham,Bournemouth,2022-10-24,True,90,0,0.0,3,0,8,1,True,0.0,False,3.25,0.25,0,0,0,1,West Ham,False,Manchester United,1.98,3.4,0
Lukasz Fabianski,West Ham,Manchester United,2022-10-30,False,45,1,0.0,2,0,1,0,False,0.0,False,4.2,0.25,0,0,0,2,West Ham,True,Crystal Palace,1.39,3.17,0
Lukasz Fabianski,West Ham,Crystal Palace,2022-11-06,True,90,2,0.0,5,0,2,0,False,0.0,False,4.2,0.2,0,0,0,9,West Ham,True,Leeds United,-1.15,3.43,0
Lukasz Fabianski,West Ham,Leeds United,2022-11-12,True,90,2,1.78,4,1,9,2,False,0.0,True,4.2,0.17,0,0,0,1,West Ham,False,Arsenal,-0.04,3.5,0
Lukasz Fabianski,West Ham,Arsenal,2022-12-26,False,90,3,2.1,2,0,1,0,False,0.0,True,4.8,0.14,0,0,0,2,West Ham,True,Brentford,1.03,3.33,0
Lukasz Fabianski,West Ham,Brentford,2022-12-30,True,90,2,1.63,4,0,2,0,False,0.0,True,4.2,0.12,0,0,0,2,West Ham,False,Leicester City,-1.62,3.4,0
Lukasz Fabianski,West Ham,Leicester City,2023-01-04,False,90,2,1.48,3,0,2,0,False,0.0,True,3.0,0.11,0,0,0,3,West Ham,False,Nottingham Forest,2.77,3.36,0
Lukasz Fabianski,West Ham,Nottingham Forest,2022-08-14,False,90,1,0.0,5,0,3,0,False,0.0,False,3.2,0.1,0,0,0,3,West Ham,False,Wolverhampton,1.36,3.5,0
Lukasz Fabianski,West Ham,Wolverhampton,2023-01-14,False,90,1,0.84,3,0,3,0,False,0.0,True,3.4,0.09,0,0,0,6,West Ham,True,Everton,-1.58,3.46,0
Lukasz Fabianski,West Ham,Everton,2023-01-21,True,90,0,0.67,2,0,6,0,True,0.0,True,2.2,0.17,0,0,0,2,West Ham,False,Newcastle United,-0.16,3.36,0
Lukasz Fabianski,West Ham,Newcastle United,2023-02-04,False,90,1,0.82,1,0,2,0,False,0.0,True,3.2,0.15,0,0,0,3,West Ham,True,Chelsea,-2.62,3.2,0
Lukasz Fabianski,West Ham,Chelsea,2023-02-11,True,90,1,1.15,3,0,3,0,False,0.0,True,3.2,0.14,0,0,0,2,West Ham,False,Tottenham,1.24,3.19,0
Lukasz Fabianski,West Ham,Tottenham,2023-02-19,False,90,2,1.48,4,0,2,0,False,0.0,True,3.4,0.13,0,0,0,6,West Ham,True,Nottingham Forest,-3.27,3.24,0
Lukasz Fabianski,West Ham,Nottingham Forest,2023-02-25,True,68,0,0.23,2,0,6,0,True,0.0,True,3.2,0.19,0,0,0,0,West Ham,False,Brighton,0.97,3.17,0
Lukasz Fabianski,West Ham,Brighton,,False,0,0,0.0,0,0,0,0,False,,False,3.8,0.19,0,0,0,0,West Ham,True,Aston Villa,-0.86,3.0,0
Lukasz Fabianski,West Ham,Aston Villa,,True,0,0,0.0,0,0,0,0,False,,False,2.6,0.19,0,0,0,8,West Ham,True,Southampton,0.91,2.85,0
Lukasz Fabianski,West Ham,Southampton,2023-04-02,True,90,0,0.39,3,0,8,1,True,0.0,True,2.2,0.24,0,0,0,0,West Ham,True,Newcastle United,1.05,2.86,0
Lukasz Fabianski,West Ham,Newcastle United,2023-04-05,True,90,5,3.12,2,0,0,0,False,0.0,True,3.2,0.22,0,0,0,1,West Ham,True,Brighton,0.78,2.82,0
Lukasz Fabianski,West Ham,Brighton,2022-08-21,True,90,2,0.0,0,0,1,0,False,0.0,False,2.8,0.21,0,0,0,8,West Ham,False,Fulham,1.3,2.7,0
Lukasz Fabianski,West Ham,Fulham,2023-04-08,False,90,0,0.68,3,0,8,1,True,0.0,True,1.8,0.25,0,0,0,2,West Ham,True,Arsenal,2.39,2.71,0
Lukasz Fabianski,West Ham,Arsenal,2023-04-16,True,90,2,2.82,3,0,2,0,False,0.0,True,3.4,0.24,0,0,0,6,West Ham,False,Bournemouth,-3.46,2.72,0
Lukasz Fabianski,West Ham,Bournemouth,2023-04-23,False,90,0,1.14,5,0,6,0,True,0.0,True,3.8,0.27,0,0,0,1,West Ham,True,Liverpool,-1.57,2.81,0
Lukasz Fabianski,West Ham,Liverpool,2023-04-26,True,90,2,2.0,2,0,1,0,False,0.0,True,3.4,0.26,0,0,0,0,West Ham,False,Crystal Palace,0.59,2.78,0
Lukasz Fabianski,West Ham,Crystal Palace,2023-04-29,False,90,4,2.13,2,0,0,0,False,0.0,True,3.6,0.25,0,0,0,2,West Ham,False,Manchester City,1.66,2.75,0
Lukasz Fabianski,West Ham,Manchester City,2023-05-03,False,90,3,2.32,4,0,2,0,False,0.0,True,3.4,0.24,0,0,0,8,West Ham,True,Manchester United,-1.91,2.79,0
Lukasz Fabianski,West Ham,Manchester United,2023-05-07,True,90,0,1.19,4,0,8,1,True,0.0,True,2.2,0.27,0,0,0,3,West Ham,False,Brentford,3.32,2.83,0
Lukasz Fabianski,West Ham,Brentford,2023-05-14,False,90,2,3.62,7,0,3,0,False,0.0,True,3.4,0.26,0,0,0,2,West Ham,True,Leicester City,0.16,2.97,0
Lukasz Fabianski,West Ham,Leicester City,2023-05-21,True,90,1,0.9,2,0,2,0,False,0.0,True,2.8,0.25,0,0,0,1,West Ham,False,Leeds United,1.87,2.94,0
Lukasz Fabianski,West Ham,Leeds United,2023-05-28,False,90,2,1.44,2,0,1,0,False,0.0,True,3.0,0.24,0,0,0,8,West Ham,False,Aston Villa,-0.5,2.91,0
Lukasz Fabianski,West Ham,Aston Villa,2022-08-28,False,90,0,0.0,3,0,8,1,True,0.0,False,3.2,0.27,0,0,0,4,West Ham,True,Tottenham,-2.05,2.91,0
Lukasz Fabianski,West Ham,Tottenham,2022-08-31,True,90,1,0.0,4,0,4,1,False,0.0,False,4.4,0.26,0,0,0,1,West Ham,False,Chelsea,2.45,2.94,0
Lukasz Fabianski,West Ham,Chelsea,2022-09-03,False,90,2,0.0,1,0,1,0,False,0.0,False,3.6,0.25,0,0,0,2,West Ham,False,Everton,-0.77,2.89,0
Lukasz Fabianski,West Ham,Everton,2022-09-18,False,90,1,0.0,1,0,2,0,False,0.0,False,3.2,0.24,0,0,0,7,West Ham,True,Wolverhampton,-2.4,2.84,0
Lukasz Fabianski,West Ham,Wolverhampton,2022-10-01,True,90,0,0.0,4,0,7,0,True,0.0,False,3.2,0.26,0,0,0,0,West Ham,False,Bournemouth,-3.46,2.87,0
