name,position,team,bonus,clean_sheets,goals_conceded,kickoff_time,minutes,opponent_team,own_goals,penalties_saved,saves,total_points,was_home
Fraser Forster,GK,Southampton,0,0,2,2021-12-26,90,,0,0,2,1,False
Fraser Forster,GK,Southampton,0,0,0,2021-12-15,0,,0,0,0,0,False
Fraser Forster,GK,Southampton,0,0,0,2021-08-14,0,,0,0,0,0,False
Fraser Forster,GK,Southampton,0,0,0,2021-08-22,0,,0,0,0,0,True
Fraser Forster,GK,Southampton,0,0,0,2021-12-11,0,,0,0,0,0,False
Fraser Forster,GK,Southampton,0,0,0,2021-11-27,0,,0,0,0,0,False
Fraser Forster,GK,Southampton,0,0,0,2021-12-01,0,,0,0,0,0,True
Fraser Forster,GK,Southampton,0,0,0,2021-11-05,0,,0,0,0,0,True
Fraser Forster,GK,Southampton,0,0,0,2021-11-20,0,,0,0,0,0,False
Fraser Forster,GK,Southampton,0,0,0,2021-10-30,0,,0,0,0,0,False
Fraser Forster,GK,Southampton,0,0,0,2021-12-04,0,,0,0,0,0,True
Fraser Forster,GK,Southampton,3,0,1,2021-12-28,90,,0,0,10,8,True
Fraser Forster,GK,Southampton,0,0,1,2022-01-11,90,,0,0,3,3,True
Fraser Forster,GK,Southampton,0,0,3,2022-01-15,90,,0,0,2,1,False
Fraser Forster,GK,Southampton,0,1,0,2022-02-25,90,,0,0,1,6,True
Fraser Forster,GK,Southampton,0,0,2,2022-02-09,90,,0,0,2,0,False
Fraser Forster,GK,Southampton,1,0,1,2022-02-12,90,,0,0,6,5,False
Fraser Forster,GK,Southampton,0,0,0,2021-08-28,0,,0,0,0,0,False
Fraser Forster,GK,Southampton,0,0,1,2022-01-22,90,,0,0,4,3,True
Fraser Forster,GK,Southampton,0,0,1,2022-04-02,90,,0,0,2,2,False
Fraser Forster,GK,Southampton,0,1,0,2022-02-19,90,,0,0,0,6,True
Fraser Forster,GK,Southampton,0,0,2,2022-03-13,90,,0,0,3,2,True
Fraser Forster,GK,Southampton,0,0,6,2022-04-09,90,,0,0,8,1,True
Fraser Forster,GK,Southampton,0,0,4,2022-03-05,90,,0,0,5,1,False
Fraser Forster,GK,Southampton,0,0,2,2022-03-10,90,,0,0,1,1,True
Fraser Forster,GK,Southampton,2,1,0,2022-04-16,90,,0,0,6,10,True
Fraser Forster,GK,Southampton,0,0,2,2022-04-21,90,,0,0,4,2,False
Fraser Forster,GK,Southampton,0,0,2,2022-04-24,90,,0,0,4,2,False
Fraser Forster,GK,Southampton,0,0,2,2022-04-30,90,,0,0,3,2,True
Fraser Forster,GKP,Southampton,0,0,0,2022-05-17,0,,0,0,0,0,True
Fraser Forster,GK,Southampton,0,0,0,2021-09-11,0,,0,0,0,0,True
Fraser Forster,GK,Southampton,0,0,0,2022-05-22,0,,0,0,0,0,False
Fraser Forster,GK,Southampton,0,0,0,2021-09-18,0,,0,0,0,0,False
Fraser Forster,GK,Southampton,0,0,3,2022-05-07,90,,0,0,2,1,False
Fraser Forster,GK,Southampton,0,0,0,2021-09-26,0,,0,0,0,0,True
Fraser Forster,GK,Southampton,0,0,0,2021-10-02,0,,0,0,0,0,False
Fraser Forster,GK,Southampton,0,0,0,2021-10-16,0,,0,0,0,0,True
Fraser Forster,GK,Southampton,0,0,0,2021-10-23,0,,0,0,0,0,True
