name,position,team,xP,assists,bonus,clean_sheets,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,total_points,was_home,yellow_cards
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,3,0,0,0.0,0,Chelsea,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,95,0,0,0.0,0,Manchester City,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,105,0,0,0.0,0,Wolverhampton,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,0.5,0,0,0,112,0,0,0.0,0,Burnley,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,0.2,0,0,0,126,1,0,1.2,30,Aston Villa,0,0,1,True,0
Eberechi Eze,MID,Crystal Palace,0.2,0,0,0,133,0,0,0.0,0,Leicester City,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,144,0,0,0.1,6,Manchester United,0,0,1,False,0
Eberechi Eze,MID,Crystal Palace,0.4,0,0,0,156,0,0,0.0,0,Everton,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,0.3,0,0,0,165,0,0,0.0,0,Southampton,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,-0.3,0,0,0,188,0,0,0.0,0,Tottenham,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,13,0,0,0.0,0,Brentford,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,0.7,0,0,0,194,0,0,0.0,0,Norwich,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,-0.5,0,0,0,204,0,0,0.0,0,West Ham,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,0.5,0,0,1,212,0,0,1.4,65,Brighton,0,0,2,False,1
Eberechi Eze,MID,Crystal Palace,0.5,0,0,0,224,1,0,1.5,22,Liverpool,0,0,1,True,0
Eberechi Eze,MID,Crystal Palace,1.8,0,0,0,234,0,0,0.3,10,Norwich,0,0,1,False,0
Eberechi Eze,MID,Crystal Palace,1.2,0,0,0,241,0,0,0.0,0,Brentford,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,0.5,0,0,0,254,1,0,0.0,5,Chelsea,0,0,1,True,0
Eberechi Eze,MID,Crystal Palace,0.5,0,0,0,178,0,0,0.0,0,Watford,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,0.9,0,0,0,265,0,0,0.0,0,Burnley,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,-0.2,0,0,0,280,0,0,0.0,0,Wolverhampton,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,-0.8,0,0,0,285,0,0,0.0,0,Manchester City,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,28,0,0,0.0,0,West Ham,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,-0.5,0,0,0,304,0,0,0.0,0,Arsenal,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,0.3,0,0,0,315,0,0,2.4,32,Leeds United,0,0,1,False,0
Eberechi Eze,MID,Crystal Palace,0.3,0,0,0,296,0,0,0.0,0,Newcastle United,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,1.0,0,0,1,336,0,0,5.5,78,Leicester City,0,0,3,True,0
Eberechi Eze,MID,Crystal Palace,2.6,0,2,0,346,1,1,8.9,83,Southampton,0,0,9,False,0
Eberechi Eze,MID,Crystal Palace,4.3,0,0,1,356,0,0,10.0,90,Watford,0,0,3,True,0
Eberechi Eze,MID,Crystal Palace,7.9,0,0,0,361,1,0,5.9,77,Aston Villa,0,0,2,False,0
Eberechi Eze,MID,Crystal Palace,7.9,1,0,0,322,3,0,6.0,90,Everton,0,0,5,False,0
Eberechi Eze,MID,Crystal Palace,3.3,0,0,0,376,0,0,0.0,11,Manchester United,0,0,1,True,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,34,0,0,0.0,0,Tottenham,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,44,0,0,0.0,0,Liverpool,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,54,0,0,0.0,0,Brighton,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,64,0,0,0.0,0,Leeds United,0,0,0,True,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,71,0,0,0.0,0,Arsenal,0,0,0,False,0
Eberechi Eze,MID,Crystal Palace,0.0,0,0,0,85,0,0,0.0,0,Newcastle United,0,0,0,True,0
