name,position,team,xP,assists,bonus,clean_sheets,fixture,goals_conceded,goals_scored,ict_index,minutes,opponent_team,penalties_missed,red_cards,total_points,was_home,yellow_cards
Tanguy Ndombele,MID,Spurs,1.6,0,0,0,10,0,0,0.0,0,Manchester City,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,2.5,0,0,0,98,1,0,0.8,24,Manchester United,0,0,1,True,0
Tanguy Ndombele,MID,Spurs,2.0,0,0,0,106,0,0,0.0,5,Everton,0,0,0,False,1
Tanguy Ndombele,MID,Spurs,1.3,0,0,0,118,0,0,0.0,0,Leicester City,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.5,0,0,0,140,0,0,0.0,0,Brentford,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,1.0,0,0,0,147,0,0,0.0,0,Norwich,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.7,1,0,0,177,1,0,3.4,63,Liverpool,0,0,5,True,0
Tanguy Ndombele,MID,Spurs,2.0,0,0,0,188,0,0,0.1,11,Crystal Palace,0,0,1,True,0
Tanguy Ndombele,MID,Spurs,0.5,0,0,0,17,0,0,0.0,0,Wolverhampton,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,1.7,0,0,0,199,0,0,0.0,0,Southampton,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,2.5,0,0,0,210,0,0,0.0,0,Watford,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,0.7,0,0,0,166,0,0,0.0,0,Leeds United,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,-0.5,0,0,0,223,0,0,0.0,0,Chelsea,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,240,0,0,0.0,0,Southampton,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,249,0,0,0.0,0,Wolverhampton,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,257,0,0,0.0,0,Manchester City,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,124,0,0,0.0,0,Burnley,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,267,0,0,0.0,0,Leicester City,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,278,0,0,0.0,0,Everton,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,288,0,0,0.0,0,Manchester United,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,153,0,0,0.0,0,Brighton,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,1.0,0,0,0,27,0,0,0.0,0,Watford,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,298,0,0,0.0,0,West Ham,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,308,0,0,0.0,0,Newcastle United,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,312,0,0,0.0,0,Aston Villa,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,327,0,0,0.0,0,Brighton,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,332,0,0,0.0,0,Brentford,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,347,0,0,0.0,0,Leeds United,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,358,0,0,0.0,0,Liverpool,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,218,0,0,0.0,0,Arsenal,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,367,0,0,0.0,0,Burnley,0,0,0,True,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,380,0,0,0.0,0,Norwich,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,0.5,0,0,0,34,0,0,0.0,0,Crystal Palace,0,0,0,False,0
Tanguy Ndombele,MID,Spurs,0.5,0,0,0,48,2,0,2.2,61,Chelsea,0,0,2,True,0
Tanguy Ndombele,MID,Spurs,0.5,0,0,0,51,3,0,1.4,69,Arsenal,0,0,2,False,0
Tanguy Ndombele,MID,Spurs,1.5,0,0,0,68,1,0,3.8,75,Aston Villa,0,0,2,True,0
Tanguy Ndombele,MID,Spurs,3.7,0,0,0,77,2,1,12.8,90,Newcastle United,0,0,7,False,0
Tanguy Ndombele,MID,Spurs,2.7,0,0,0,90,1,0,5.9,83,West Ham,0,0,2,False,0
