name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Gonçalo Manuel Ganchinho Guedes,Wolves,Chelsea,False,45,1,3.1,0,0,1,False,0,Wolves,True,Nottingham Forest,
Gonçalo Manuel Ganchinho Guedes,Wolves,Nottingham Forest,True,0,0,0.0,0,0,0,False,1,Wolves,False,Crystal Palace,3.09
Gonçalo Manuel Ganchinho Guedes,Wolves,Crystal Palace,False,32,1,2.2,0,0,1,False,0,Wolves,True,Leeds United,-1.61
Gonçalo Manuel Ganchinho Guedes,Wolves,Leeds United,True,0,0,0.0,0,0,0,False,1,Wolves,False,Brentford,-1.55
Gonçalo Manuel Ganchinho Guedes,Wolves,Brentford,False,7,1,1.1,0,0,0,False,7,Wolves,True,Brighton,5.19
Gonçalo Manuel Ganchinho Guedes,Wolves,Brighton,True,73,7,8.9,0,0,2,False,2,Wolves,True,Arsenal,1.59
Gonçalo Manuel Ganchinho Guedes,Wolves,Arsenal,True,90,2,5.0,0,0,2,True,1,Wolves,False,Everton,-1.05
Gonçalo Manuel Ganchinho Guedes,Wolves,Everton,False,17,1,0.2,0,0,0,False,0,Wolves,True,Manchester United,-0.79
Gonçalo Manuel Ganchinho Guedes,Wolves,Manchester United,True,0,0,0.0,0,0,0,False,0,Wolves,False,Aston Villa,-2.09
Gonçalo Manuel Ganchinho Guedes,Wolves,Aston Villa,False,0,0,0.0,0,0,0,False,1,Wolves,True,Fulham,
Gonçalo Manuel Ganchinho Guedes,Wolves,Fulham,True,32,1,0.1,0,0,0,False,0,Wolves,True,West Ham,-2.69
Gonçalo Manuel Ganchinho Guedes,Wolves,West Ham,True,0,0,0.0,0,0,0,False,0,Wolves,False,Manchester City,-0.09
Gonçalo Manuel Ganchinho Guedes,Wolves,Manchester City,False,0,0,0.0,0,0,0,False,0,Wolves,True,Liverpool,0.37
Gonçalo Manuel Ganchinho Guedes,Wolves,Liverpool,True,0,0,0.0,0,0,0,False,0,Wolves,False,Southampton,-2.8
Gonçalo Manuel Ganchinho Guedes,Wolves,Southampton,False,0,0,0.0,0,0,0,False,0,Wolves,True,Bournemouth,
Gonçalo Manuel Ganchinho Guedes,Wolves,Bournemouth,True,0,0,0.0,0,0,0,False,0,Wolves,False,Fulham,
Gonçalo Manuel Ganchinho Guedes,Wolves,Fulham,False,0,0,0.0,0,0,0,False,0,Wolves,False,Liverpool,0.91
Gonçalo Manuel Ganchinho Guedes,Wolves,Liverpool,False,0,0,0.0,0,0,0,False,0,Wolves,True,Tottenham,2.05
Gonçalo Manuel Ganchinho Guedes,Wolves,Tottenham,True,0,0,0.0,0,0,0,False,0,Wolves,False,Newcastle United,3.01
Gonçalo Manuel Ganchinho Guedes,Wolves,Newcastle United,False,0,0,0.0,0,0,0,False,0,Wolves,True,Leicester City,2.07
Gonçalo Manuel Ganchinho Guedes,Wolves,Leicester City,True,0,0,0.0,0,0,0,False,0,Wolves,False,Nottingham Forest,
Gonçalo Manuel Ganchinho Guedes,Wolves,Nottingham Forest,False,0,0,0.0,0,0,0,False,2,Wolves,False,Tottenham,1.18
Gonçalo Manuel Ganchinho Guedes,Wolves,Tottenham,False,80,2,8.3,0,0,1,False,0,Wolves,True,Chelsea,-1.03
Gonçalo Manuel Ganchinho Guedes,Wolves,Chelsea,True,0,0,0.0,0,0,0,False,0,Wolves,True,Brentford,3.23
Gonçalo Manuel Ganchinho Guedes,Wolves,Brentford,True,0,0,0.0,0,0,0,False,0,Wolves,False,Leeds United,0.21
Gonçalo Manuel Ganchinho Guedes,Wolves,Leeds United,False,0,0,0.0,0,0,0,False,0,Wolves,True,Crystal Palace,
Gonçalo Manuel Ganchinho Guedes,Wolves,Crystal Palace,True,0,0,0.0,0,0,0,False,0,Wolves,False,Brighton,-1.83
Gonçalo Manuel Ganchinho Guedes,Wolves,Brighton,False,0,0,0.0,0,0,0,False,0,Wolves,True,Aston Villa,
Gonçalo Manuel Ganchinho Guedes,Wolves,Aston Villa,True,0,0,0.0,0,0,0,False,0,Wolves,False,Manchester United,-0.63
Gonçalo Manuel Ganchinho Guedes,Wolves,Manchester United,False,0,0,0.0,0,0,0,False,0,Wolves,True,Everton,-1.31
Gonçalo Manuel Ganchinho Guedes,Wolves,Everton,True,0,0,0.0,0,0,0,False,0,Wolves,False,Arsenal,
Gonçalo Manuel Ganchinho Guedes,Wolves,Arsenal,False,0,0,0.0,0,0,0,False,7,Wolves,True,Newcastle United,-1.69
Gonçalo Manuel Ganchinho Guedes,Wolves,Newcastle United,True,82,7,5.0,1,1,0,False,3,Wolves,False,Bournemouth,1.23
Gonçalo Manuel Ganchinho Guedes,Wolves,Bournemouth,False,74,3,1.3,0,1,0,False,0,Wolves,True,Southampton,-2.12
Gonçalo Manuel Ganchinho Guedes,Wolves,Southampton,True,45,0,2.8,0,0,0,False,2,Wolves,True,Manchester City,3.44
Gonçalo Manuel Ganchinho Guedes,Wolves,Manchester City,True,69,2,4.0,0,0,3,False,1,Wolves,False,West Ham,4.15
Gonçalo Manuel Ganchinho Guedes,Wolves,West Ham,False,57,1,3.1,0,0,2,False,0,Wolves,False,Manchester United,-0.63
