goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,1.0,0.1137490794062614,9.0,Sub,2024-05-19,0.0,0.0,0.0
0.0,0.0,0.0,5.0,Sub,2024-05-14,0.0,0.0,0.0
0.0,0.0,0.0,77.0,DL,2024-05-11,0.0,0.0,0.0
0.0,0.0,0.0,27.0,Sub,2024-05-05,0.0,0.0,0.0
0.0,0.0,0.0,1.0,Sub,2024-02-03,0.0,0.0,0.0
0.0,1.0,0.1207262054085731,52.0,DMC,2024-01-31,0.0,0.0,0.0
0.0,1.0,0.0235289372503757,88.0,MC,2024-01-14,0.1553337574005127,0.0,3.0
0.0,0.0,0.0,59.0,Sub,2023-12-31,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DMC,2023-12-23,0.0,0.0,0.0
0.0,0.0,0.0,59.0,Sub,2023-12-15,0.0700471326708793,0.0,1.0
0.0,1.0,0.4243887364864349,1.0,Sub,2023-12-10,0.1271683722734451,0.0,1.0
0.0,0.0,0.0,21.0,Sub,2023-12-07,0.0,0.0,0.0
0.0,0.0,0.0,8.0,Sub,2023-12-03,0.0,0.0,0.0
0.0,0.0,0.0,10.0,Sub,2023-11-26,0.1142366528511047,0.0,1.0
0.0,0.0,0.0,17.0,Sub,2023-11-06,0.074246697127819,0.0,1.0
0.0,0.0,0.0,26.0,Sub,2023-10-23,0.0,0.0,0.0
0.0,0.0,0.0,10.0,Sub,2023-10-07,0.0,0.0,0.0
0.0,0.0,0.0,1.0,Sub,2023-09-30,0.0,0.0,0.0
0.0,0.0,0.0,1.0,Sub,2023-09-02,0.0,0.0,0.0
0.0,0.0,0.0,12.0,Sub,2023-08-26,0.0,0.0,0.0
0.0,0.0,0.0,86.0,DMC,2023-08-13,0.0,0.0,0.0
0.0,4.0,0.6823929585516451,660.0,,,0.5410326123237608,0.0,7.0
0.0,0.5454545454545455,0.0930535852570425,660.0,,,0.07377717440778556,0.0,0.9545454545454546
