name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Andrey Nascimento dos Santos,Chelsea,Liverpool,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Fulham,,-0.3
Andrey Nascimento dos Santos,Chelsea,Fulham,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,West Ham,,0.14
Andrey Nascimento dos Santos,Chelsea,West Ham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Southampton,,-0.38
Andrey Nascimento dos Santos,Chelsea,Southampton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,Tottenham,,-0.03
Andrey Nascimento dos Santos,Chelsea,Tottenham,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Leicester City,,0.83
Andrey Nascimento dos Santos,Chelsea,Leicester City,2023-03-04,True,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,Leeds United,,-0.8
Andrey Nascimento dos Santos,Chelsea,Leeds United,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Everton,,0.34
Andrey Nascimento dos Santos,Chelsea,Everton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Aston Villa,,0.55
Andrey Nascimento dos Santos,Chelsea,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Liverpool,,-0.53
Andrey Nascimento dos Santos,Chelsea,Liverpool,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,Wolverhampton,,-0.46
Andrey Nascimento dos Santos,Chelsea,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Brighton,,-0.71
Andrey Nascimento dos Santos,Chelsea,Brighton,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Brentford,,0.69
Andrey Nascimento dos Santos,Chelsea,Brentford,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,Arsenal,,-0.0
Andrey Nascimento dos Santos,Chelsea,Arsenal,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,Bournemouth,,0.19
Andrey Nascimento dos Santos,Chelsea,Bournemouth,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Nottingham Forest,,
Andrey Nascimento dos Santos,Chelsea,Nottingham Forest,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,Manchester City,,-1.26
Andrey Nascimento dos Santos,Chelsea,Manchester City,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,False,Manchester United,,-0.1
Andrey Nascimento dos Santos,Chelsea,Manchester United,,False,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,Chelsea,True,Newcastle United,,0.73
Andrey Nascimento dos Santos,Chelsea,Newcastle United,,True,0,,,,,0,,,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,Chelsea,True,Liverpool,,-0.53
