name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game
Declan Rice,West Ham,Newcastle United,2021-08-15,False,DMC,90,0,0.0,0,0.09,2,0,2,5.9,0,0,2,0.0,0.0,90.0
Declan Rice,West Ham,Aston Villa,2021-10-31,False,DMC,90,1,0.12,1,0.11,13,3,2,14.7,3,0,1,2.0,0.0,90.0
Declan Rice,West Ham,Liverpool,2021-11-07,True,DMC,90,0,0.0,0,0.0,2,0,0,1.5,0,0,2,7.5,0.56,90.0
Declan Rice,West Ham,Wolverhampton,2021-11-20,False,DMC,90,0,0.01,0,0.0,1,1,0,2.4,0,0,1,5.67,0.37,90.0
Declan Rice,West Ham,Manchester City,2021-11-28,False,DMC,90,0,0.01,0,0.0,2,1,0,3.4,0,0,2,4.5,0.28,90.0
Declan Rice,West Ham,Brighton,2021-12-01,True,DMC,90,0,0.03,0,0.06,2,1,1,4.9,0,0,1,4.0,0.23,90.0
Declan Rice,West Ham,Chelsea,2021-12-04,True,MC,90,0,0.0,0,0.0,2,0,0,2.0,0,0,2,4.0,0.23,90.0
Declan Rice,West Ham,Burnley,2021-12-12,False,DMC,90,0,0.02,0,0.04,3,1,1,5.4,0,1,0,1.8,0.01,90.0
Declan Rice,West Ham,Arsenal,2021-12-15,False,DMC,90,0,0.02,0,0.0,2,1,0,2.8,0,0,2,2.0,0.01,90.0
Declan Rice,West Ham,Southampton,2021-12-26,True,DMC,90,0,0.03,0,0.0,1,2,0,2.8,0,0,3,2.2,0.02,90.0
Declan Rice,West Ham,Leeds United,2021-08-23,True,DMC,90,0,0.01,1,0.18,6,1,2,7.7,1,0,1,2.0,0.02,90.0
Declan Rice,West Ham,Crystal Palace,2022-01-01,False,DMC,90,0,0.0,1,0.2,5,0,1,5.4,0,0,2,2.8,0.22,90.0
Declan Rice,West Ham,Norwich,2022-01-12,True,DMC,90,0,0.0,0,0.03,3,0,1,3.6,0,1,0,3.4,0.42,90.0
Declan Rice,West Ham,Leicester City,2022-01-16,True,DMC,90,0,0.16,0,0.0,2,2,0,3.6,0,0,3,3.4,0.41,90.0
Declan Rice,West Ham,Manchester United,2022-01-22,False,DMC,90,0,0.06,0,0.0,1,1,0,4.3,0,0,1,3.4,0.44,90.0
Declan Rice,West Ham,Watford,2022-02-08,True,DMC,90,0,0.0,0,0.0,3,0,0,2.0,0,1,0,3.4,0.45,90.0
Declan Rice,West Ham,Leeds United,2022-02-13,False,DMC,90,0,0.0,0,0.0,1,0,0,1.5,0,0,2,2.8,0.24,90.0
Declan Rice,West Ham,Newcastle United,2022-02-19,True,DMC,90,0,0.0,0,0.06,2,0,2,5.2,0,0,1,2.0,0.04,90.0
Declan Rice,West Ham,Wolverhampton,2022-02-27,True,DMC,90,0,0.03,0,0.07,3,2,1,4.1,0,1,0,1.8,0.04,90.0
Declan Rice,West Ham,Aston Villa,2022-03-13,True,MC,90,0,0.0,0,0.0,2,0,0,1.8,0,0,1,2.0,0.02,90.0
Declan Rice,West Ham,Crystal Palace,2021-08-28,True,DMC,90,0,0.0,0,0.09,1,0,2,5.4,0,0,2,2.2,0.01,90.0
Declan Rice,West Ham,Tottenham,2022-03-20,False,MC,90,0,0.0,0,0.0,2,0,0,2.0,0,0,3,1.8,0.01,90.0
Declan Rice,West Ham,Everton,2022-04-03,True,DMC,90,0,0.0,0,0.02,4,0,1,4.5,2,0,1,2.0,0.01,90.0
Declan Rice,West Ham,Brentford,2022-04-10,False,DMC,90,0,0.14,0,0.0,2,2,0,3.5,0,0,2,2.4,0.01,90.0
Declan Rice,West Ham,Burnley,2022-04-17,True,DMC,90,0,0.16,0,0.14,1,2,3,7.7,0,0,1,2.2,0.03,90.0
Declan Rice,West Ham,Chelsea,2022-04-24,False,Sub,28,0,0.0,0,0.0,1,0,0,0.4,0,0,1,2.0,0.06,87.62
Declan Rice,West Ham,Arsenal,2022-05-01,True,DMC,90,0,0.05,0,0.0,2,2,0,5.4,0,0,2,2.0,0.06,87.7
Declan Rice,West Ham,Norwich,2022-05-08,False,DMC,90,0,0.0,0,0.0,3,0,0,2.6,0,1,0,2.0,0.07,87.79
Declan Rice,West Ham,Manchester City,2022-05-15,True,DMC,90,0,0.0,0,0.0,2,0,0,3.1,0,0,2,1.8,0.07,87.86
Declan Rice,West Ham,Brighton,2022-05-22,False,DMC,90,0,0.02,0,0.0,2,1,0,0.0,0,0,3,1.8,0.04,87.93
Declan Rice,West Ham,Southampton,2021-09-11,False,DMC,90,0,0.06,0,0.02,2,1,1,4.6,0,1,0,2.0,0.01,88.0
Declan Rice,West Ham,Manchester United,2021-09-19,True,MC,90,0,0.0,0,0.0,2,0,0,1.4,0,0,2,2.2,0.03,88.06
Declan Rice,West Ham,Leicester City,2021-09-25,False,DMC,90,0,0.1,1,0.3,6,1,1,4.8,1,0,1,2.2,0.02,88.12
Declan Rice,West Ham,Brentford,2021-10-03,True,DMC,90,0,0.0,0,0.0,1,0,0,2.9,0,0,2,2.8,0.23,88.18
Declan Rice,West Ham,Everton,2021-10-17,False,DMC,90,0,0.02,0,0.15,3,1,2,5.3,0,1,0,2.6,0.23,88.23
Declan Rice,West Ham,Tottenham,2021-10-24,True,DMC,90,0,0.0,0,0.0,3,0,0,2.7,0,1,0,2.8,0.23,88.28
