name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game
Shandon Baptiste,Brentford,Newcastle United,2021-11-20,False,Sub,1,0,0.0,0,0.0,1,0,0,0.4,0,0,0,0.0,0.0,1.0
Shandon Baptiste,Brentford,Everton,2021-11-28,True,Sub,20,0,0.0,0,0.08,1,0,1,1.5,0,0,0,1.0,0.0,10.5
Shandon Baptiste,Brentford,Tottenham,2021-12-02,False,Sub,34,0,0.0,0,0.0,1,0,0,0.3,0,0,1,1.0,0.0,18.33
Shandon Baptiste,Brentford,Leicester City,2021-12-05,False,MC,68,1,0.05,0,0.0,9,1,0,6.2,2,0,1,1.0,0.0,30.75
Shandon Baptiste,Brentford,Watford,2021-12-10,True,MC,90,0,0.06,0,0.1,2,1,2,5.1,0,0,1,3.0,0.01,42.6
Shandon Baptiste,Brentford,Brighton,2021-12-26,False,MC,90,0,0.18,0,0.0,2,4,0,6.4,0,0,2,2.8,0.02,50.5
Shandon Baptiste,Brentford,Manchester City,2021-12-29,True,MC,90,0,0.04,0,0.07,2,2,1,2.7,0,0,1,3.0,0.06,56.14
Shandon Baptiste,Brentford,Aston Villa,2022-01-02,True,Sub,29,0,0.0,0,0.09,1,0,1,1.6,0,0,0,3.2,0.07,52.75
Shandon Baptiste,Brentford,Southampton,2022-01-11,False,MC,55,0,0.0,0,0.03,1,0,1,1.8,0,0,3,3.2,0.07,53.0
Shandon Baptiste,Brentford,Liverpool,2022-01-16,False,MC,67,0,0.0,0,0.0,2,0,0,0.7,0,0,1,1.6,0.06,54.4
Shandon Baptiste,Brentford,Manchester United,2022-01-19,True,Sub,26,0,0.0,0,0.07,1,0,1,2.1,0,0,1,1.6,0.04,51.82
Shandon Baptiste,Brentford,Wolverhampton,2022-01-22,True,Sub,52,0,0.0,0,0.0,1,0,0,0.9,0,0,2,1.4,0.01,51.83
Shandon Baptiste,Brentford,Crystal Palace,2022-02-12,True,Sub,4,0,0.0,0,0.0,1,0,0,0.1,0,0,0,1.2,0.0,48.15
Shandon Baptiste,Brentford,Arsenal,2022-02-19,False,Sub,22,0,0.0,0,0.0,1,0,0,0.5,0,0,1,1.2,0.0,46.29
Shandon Baptiste,Brentford,Aston Villa,2021-08-28,False,Sub,1,0,0.0,0,0.0,1,0,0,0.0,0,0,0,1.2,0.0,43.27
Shandon Baptiste,Brentford,Leeds United,2022-03-20,False,Sub,34,0,0.13,0,0.11,1,1,2,5.0,0,0,0,1.0,0.0,42.69
Shandon Baptiste,Brentford,Southampton,2022-05-07,True,Sub,9,0,0.0,0,0.0,1,0,0,0.2,0,0,0,1.0,0.03,40.71
Shandon Baptiste,Brentford,Leicester City,2022-05-22,True,Sub,19,0,0.0,0,0.0,1,0,0,0.0,0,0,1,1.0,0.03,39.5
Shandon Baptiste,Brentford,Brighton,2021-09-11,True,MC,74,0,0.03,0,0.0,3,1,0,0.5,0,1,0,1.0,0.03,41.32
Shandon Baptiste,Brentford,Wolverhampton,2021-09-18,False,MC,63,0,0.0,0,0.0,0,0,0,0.0,0,1,0,1.4,0.03,42.4
Shandon Baptiste,Brentford,Liverpool,2021-09-25,True,Sub,22,0,0.0,0,0.0,1,0,0,1.6,0,0,0,1.2,0.03,41.43
Shandon Baptiste,Brentford,West Ham,2021-10-03,False,MC,28,0,0.09,0,0.0,1,2,0,2.0,0,0,0,1.2,0.01,40.82
