name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Terence Kongolo,Fulham,Liverpool,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,West Ham,1.35
Terence Kongolo,Fulham,West Ham,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Bournemouth,-0.74
Terence Kongolo,Fulham,Bournemouth,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Aston Villa,-0.63
Terence Kongolo,Fulham,Aston Villa,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Leicester City,-2.72
Terence Kongolo,Fulham,Leicester City,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Everton,0.79
Terence Kongolo,Fulham,Everton,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Manchester City,1.5
Terence Kongolo,Fulham,Manchester City,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Manchester United,1.36
Terence Kongolo,Fulham,Manchester United,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Crystal Palace,-1.05
Terence Kongolo,Fulham,Crystal Palace,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Southampton,-0.67
Terence Kongolo,Fulham,Southampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Leeds United,-2.01
Terence Kongolo,Fulham,Leeds United,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Chelsea,1.22
Terence Kongolo,Fulham,Chelsea,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Wolverhampton,0.28
Terence Kongolo,Fulham,Wolverhampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Newcastle United,1.64
Terence Kongolo,Fulham,Newcastle United,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Tottenham,-0.89
Terence Kongolo,Fulham,Tottenham,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Chelsea,0.71
Terence Kongolo,Fulham,Chelsea,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Nottingham Forest,-3.99
Terence Kongolo,Fulham,Nottingham Forest,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Brighton,-0.55
Terence Kongolo,Fulham,Brighton,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Wolverhampton,0.52
Terence Kongolo,Fulham,Wolverhampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Brentford,0.07
Terence Kongolo,Fulham,Brentford,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Arsenal,0.97
Terence Kongolo,Fulham,Arsenal,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Bournemouth,3.99
Terence Kongolo,Fulham,Bournemouth,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Brentford,1.56
Terence Kongolo,Fulham,Brentford,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,West Ham,-0.79
Terence Kongolo,Fulham,West Ham,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Everton,-0.93
Terence Kongolo,Fulham,Everton,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Leicester City,-2.18
Terence Kongolo,Fulham,Leicester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Aston Villa,2.57
Terence Kongolo,Fulham,Aston Villa,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Manchester City,2.68
Terence Kongolo,Fulham,Manchester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Liverpool,0.28
Terence Kongolo,Fulham,Liverpool,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Leeds United,0.24
Terence Kongolo,Fulham,Leeds United,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Southampton,-1.16
Terence Kongolo,Fulham,Southampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Crystal Palace,0.27
Terence Kongolo,Fulham,Crystal Palace,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Manchester United,0.13
Terence Kongolo,Fulham,Manchester United,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Arsenal,-0.68
Terence Kongolo,Fulham,Arsenal,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Brighton,-2.78
Terence Kongolo,Fulham,Brighton,True,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Tottenham,1.6
Terence Kongolo,Fulham,Tottenham,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,False,Nottingham Forest,1.93
Terence Kongolo,Fulham,Nottingham Forest,False,0,0,0.0,0,0,0,0.0,False,0.0,Fulham,True,Newcastle United,3.13
Terence Kongolo,Fulham,Newcastle United,True,0,0,0.0,0,0,0,0.0,False,,Nott'm Forest,False,Arsenal,1.87
