name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Eric Bailly,Man Utd,Brighton,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Everton,-1.18
Eric Bailly,Man Utd,Everton,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Newcastle United,-0.79
Eric Bailly,Man Utd,Newcastle United,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Tottenham,-2.02
Eric Bailly,Man Utd,Tottenham,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Chelsea,0.93
Eric Bailly,Man Utd,Chelsea,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,West Ham,-1.52
Eric Bailly,Man Utd,West Ham,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Aston Villa,-0.18
Eric Bailly,Man Utd,Aston Villa,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Fulham,-1.5
Eric Bailly,Man Utd,Fulham,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Nottingham Forest,-0.7
Eric Bailly,Man Utd,Nottingham Forest,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Wolverhampton,-0.7
Eric Bailly,Man Utd,Wolverhampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Bournemouth,1.4
Eric Bailly,Man Utd,Bournemouth,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Brentford,1.16
Eric Bailly,Man Utd,Brentford,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Manchester City,0.86
Eric Bailly,Man Utd,Manchester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Crystal Palace,2.45
Eric Bailly,Man Utd,Crystal Palace,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Arsenal,1.27
Eric Bailly,Man Utd,Arsenal,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Crystal Palace,1.05
Eric Bailly,Man Utd,Crystal Palace,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Leicester City,-2.87
Eric Bailly,Man Utd,Leicester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Leicester City,-2.1
Eric Bailly,Man Utd,Leicester City,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Leeds United,-2.34
Eric Bailly,Man Utd,Leeds United,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Liverpool,2.76
Eric Bailly,Man Utd,Liverpool,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Southampton,-0.88
Eric Bailly,Man Utd,Southampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Newcastle United,1.36
Eric Bailly,Man Utd,Newcastle United,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Brentford,-1.08
Eric Bailly,Man Utd,Brentford,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Liverpool,0.35
Eric Bailly,Man Utd,Liverpool,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Everton,-1.71
Eric Bailly,Man Utd,Everton,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Nottingham Forest,-0.09
Eric Bailly,Man Utd,Nottingham Forest,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Tottenham,0.11
Eric Bailly,Man Utd,Tottenham,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Aston Villa,-0.23
Eric Bailly,Man Utd,Aston Villa,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Brighton,0.65
Eric Bailly,Man Utd,Brighton,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,West Ham,2.3
Eric Bailly,Man Utd,West Ham,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Wolverhampton,-0.93
Eric Bailly,Man Utd,Wolverhampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Bournemouth,-0.31
Eric Bailly,Man Utd,Bournemouth,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Chelsea,-2.79
Eric Bailly,Man Utd,Chelsea,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Fulham,0.26
Eric Bailly,Man Utd,Fulham,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Southampton,-0.99
Eric Bailly,Man Utd,Southampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Leeds United,0.57
Eric Bailly,Man Utd,Leeds United,False,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,True,Arsenal,-2.12
Eric Bailly,Man Utd,Arsenal,True,0,0,0.0,0,0,0,0.0,False,0.0,Man Utd,False,Manchester City,1.48
Eric Bailly,Man Utd,Manchester City,False,0,0,0.0,0,0,0,0.0,False,,Chelsea,True,Liverpool,-0.16
