name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Kaine Kesler Hayden,Aston Villa,Bournemouth,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Nottingham Forest,
Kaine Kesler Hayden,Aston Villa,Nottingham Forest,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Chelsea,2.75
Kaine Kesler Hayden,Aston Villa,Chelsea,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Fulham,
Kaine Kesler Hayden,Aston Villa,Fulham,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Brentford,-0.37
Kaine Kesler Hayden,Aston Villa,Brentford,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Newcastle United,1.88
Kaine Kesler Hayden,Aston Villa,Newcastle United,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Manchester United,0.0
Kaine Kesler Hayden,Aston Villa,Manchester United,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Brighton,-4.31
Kaine Kesler Hayden,Aston Villa,Brighton,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Liverpool,-0.88
Kaine Kesler Hayden,Aston Villa,Liverpool,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Tottenham,2.01
Kaine Kesler Hayden,Aston Villa,Tottenham,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Wolverhampton,1.52
Kaine Kesler Hayden,Aston Villa,Wolverhampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Everton,-3.07
Kaine Kesler Hayden,Aston Villa,Everton,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Leicester City,-0.17
Kaine Kesler Hayden,Aston Villa,Leicester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Southampton,1.75
Kaine Kesler Hayden,Aston Villa,Southampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Leeds United,-3.62
Kaine Kesler Hayden,Aston Villa,Leeds United,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Manchester City,0.58
Kaine Kesler Hayden,Aston Villa,Manchester City,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Arsenal,0.71
Kaine Kesler Hayden,Aston Villa,Arsenal,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Everton,-0.42
Kaine Kesler Hayden,Aston Villa,Everton,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Crystal Palace,-0.13
Kaine Kesler Hayden,Aston Villa,Crystal Palace,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,West Ham,1.86
Kaine Kesler Hayden,Aston Villa,West Ham,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Bournemouth,
Kaine Kesler Hayden,Aston Villa,Bournemouth,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Chelsea,4.06
Kaine Kesler Hayden,Aston Villa,Chelsea,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Leeds United,
Kaine Kesler Hayden,Aston Villa,Leeds United,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Crystal Palace,1.07
Kaine Kesler Hayden,Aston Villa,Crystal Palace,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Nottingham Forest,
Kaine Kesler Hayden,Aston Villa,Nottingham Forest,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Newcastle United,-3.47
Kaine Kesler Hayden,Aston Villa,Newcastle United,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Brentford,0.38
Kaine Kesler Hayden,Aston Villa,Brentford,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Fulham,
Kaine Kesler Hayden,Aston Villa,Fulham,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Manchester United,-1.29
Kaine Kesler Hayden,Aston Villa,Manchester United,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Wolverhampton,
Kaine Kesler Hayden,Aston Villa,Wolverhampton,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Tottenham,
Kaine Kesler Hayden,Aston Villa,Tottenham,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Liverpool,0.83
Kaine Kesler Hayden,Aston Villa,Liverpool,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Brighton,-3.72
Kaine Kesler Hayden,Aston Villa,Brighton,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,West Ham,3.13
Kaine Kesler Hayden,Aston Villa,West Ham,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Arsenal,2.49
Kaine Kesler Hayden,Aston Villa,Arsenal,False,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Manchester City,-0.28
Kaine Kesler Hayden,Aston Villa,Manchester City,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,True,Southampton,-1.35
Kaine Kesler Hayden,Aston Villa,Southampton,True,0,0,0.0,0,0,0,0.0,False,0.0,Aston Villa,False,Leicester City,0.16
Kaine Kesler Hayden,Aston Villa,Leicester City,False,0,0,0.0,0,0,0,0.0,False,,Man City,False,Burnley,
