name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts
Jonny Evans,Leicester,Brentford,2022-08-07,True,DC,90,0,0.0,0,0.0,1,0,0,1.5,0,0,2,0.0,False
Jonny Evans,Leicester,Bournemouth,2022-10-08,False,DC,90,0,0.0843219012022018,0,0.0,1,1,0,6.3,0,0,2,0.0,False
Jonny Evans,Leicester,Arsenal,2022-08-13,False,DC,90,0,0.0,0,0.0,0,0,0,1.5,0,0,4,0.0,False
Jonny Evans,Leicester,Chelsea,2023-03-11,True,Sub,1,0,0.0,0,0.0,1,0,0,0.1,0,0,0,0.0,False
Jonny Evans,Leicester,Southampton,2022-08-20,True,DC,90,0,0.0,0,0.0,1,0,0,1.9,0,0,2,0.0,False
Jonny Evans,Leicester,Liverpool,2023-05-15,True,DC,88,0,0.0,0,0.0,1,0,0,1.5,0,0,3,2.04,True
Jonny Evans,Leicester,Newcastle United,2023-05-22,False,DC,62,0,0.0,0,0.0,6,0,0,3.0,0,1,0,1.21,True
Jonny Evans,Leicester,West Ham,2023-05-28,True,DC,90,0,0.0,0,0.0,1,0,0,0.0,0,0,1,1.34,True
Jonny Evans,Leicester,Chelsea,2022-08-27,False,DC,90,0,0.0,0,0.0,1,0,0,1.6,0,0,2,0.0,False
Jonny Evans,Leicester,Manchester United,2022-09-01,True,DC,90,0,0.0,0,0.0,2,0,0,2.7,0,0,1,0.0,False
Jonny Evans,Leicester,Brighton,2022-09-04,False,DC,90,0,0.0,0,0.0,0,0,0,2.2,0,0,5,0.0,False
Jonny Evans,Leicester,Tottenham,2022-09-17,False,DC,90,0,0.0,0,0.0,-1,0,0,2.7,0,0,6,0.0,False
Jonny Evans,Leicester,Nottingham Forest,2022-10-03,True,DC,90,0,0.0,0,0.0927421972155571,6,0,1,2.9,0,1,0,0.0,False
