goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,0.0,0.0,77.0,FWL,2022-05-07,0.0,0.0,0.0
0.0,3.0,0.2255393266677856,90.0,FWL,2022-04-30,0.2800619900226593,0.0,3.0
0.0,1.0,0.1480543166399002,90.0,FWL,2022-04-23,0.2152210026979446,1.0,2.0
1.0,3.0,0.1380506753921508,90.0,FWL,2022-04-16,0.0174744147807359,0.0,1.0
0.0,0.0,0.0,52.0,Sub,2022-04-09,0.0210772305727005,0.0,1.0
0.0,0.0,0.0,10.0,Sub,2022-04-02,0.0,0.0,0.0
0.0,1.0,0.0403808318078517,89.0,FWL,2022-03-13,0.093087263405323,0.0,1.0
0.0,1.0,0.0990167185664177,90.0,FW,2022-03-10,0.0,0.0,0.0
0.0,4.0,0.6049428582191467,90.0,FW,2022-03-06,0.0672082379460334,0.0,1.0
0.0,1.0,0.1390768140554428,90.0,FW,2022-02-26,0.0,0.0,0.0
0.0,4.0,0.98715341091156,90.0,FWL,2022-02-23,0.0277417302131652,0.0,1.0
1.0,2.0,0.6865934133529663,87.0,FW,2022-02-19,0.0701423436403274,0.0,1.0
0.0,2.0,0.2397457063198089,90.0,FW,2022-02-12,0.0,0.0,0.0
0.0,1.0,0.0448510088026523,90.0,FW,2022-02-08,0.0249763838946819,0.0,1.0
0.0,1.0,0.0301350783556699,80.0,FWR,2022-01-21,0.0161339733749628,0.0,1.0
0.0,2.0,0.1165568754076957,86.0,FWR,2022-01-15,0.5793750882148743,0.0,2.0
0.0,1.0,0.0630844756960868,47.0,FW,2022-01-01,0.0,0.0,0.0
1.0,2.0,0.3912992179393768,90.0,FW,2021-12-28,0.0,0.0,0.0
1.0,2.0,0.1119838282465934,90.0,FW,2021-12-10,0.3113675117492676,0.0,1.0
0.0,2.0,0.078268863260746,90.0,MR,2021-12-04,0.0197955649346113,0.0,1.0
1.0,1.0,0.0863539651036262,90.0,MR,2021-12-01,0.4000892043113708,0.0,1.0
1.0,3.0,0.4620954692363739,73.0,FW,2021-11-28,0.0520683899521827,0.0,2.0
1.0,4.0,0.2519015371799469,90.0,ML,2021-11-20,0.5390501022338867,2.0,2.0
0.0,1.0,0.0241952072829008,77.0,ML,2021-11-07,0.0,0.0,0.0
1.0,2.0,0.4619486927986145,22.0,Sub,2021-10-23,0.8990615010261536,2.0,4.0
0.0,0.0,0.0,70.0,MR,2021-10-16,0.0,0.0,0.0
0.0,1.0,0.0705595538020134,90.0,AML,2021-10-02,0.0401048399507999,0.0,2.0
0.0,4.0,0.27791628241539,79.0,AML,2021-09-25,0.0357611402869224,0.0,1.0
1.0,2.0,0.459775447845459,75.0,AML,2021-09-18,0.0,0.0,0.0
0.0,1.0,0.0133228655904531,90.0,ML,2021-09-11,0.0,0.0,0.0
0.0,2.0,0.1280056834220886,90.0,ML,2021-08-29,0.0,0.0,0.0
0.0,1.0,0.0331709645688533,90.0,FW,2021-08-21,0.035065159201622,0.0,1.0
1.0,5.0,0.5928282737731934,68.0,FW,2021-08-14,0.214297667145729,1.0,3.0
10.0,60.0,7.006807362660766,2612.0,,,3.959160739555954,6.0,33.0
0.3445635528330781,2.0673813169984685,0.24142904388953634,2612.0,,,0.13641824906586367,0.20673813169984687,1.1370597243491578
