goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,0.0,0.0,90.0,DC,2022-05-22,0.0,0.0,0.0
0.0,1.0,0.0678824484348297,90.0,DC,2022-05-19,0.1213714778423309,0.0,2.0
0.0,0.0,0.0,39.0,Sub,2022-05-15,0.0,0.0,0.0
0.0,0.0,0.0,69.0,DMC,2022-05-07,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2022-04-30,0.0,0.0,0.0
0.0,1.0,0.0926812589168548,90.0,DC,2022-03-13,0.0,0.0,0.0
1.0,1.0,0.0432780236005783,90.0,DC,2022-03-10,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2022-03-05,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2022-02-19,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2022-02-13,0.0,0.0,0.0
0.0,0.0,0.0,1.0,Sub,2022-02-09,0.0,0.0,0.0
0.0,0.0,0.0,90.0,DC,2021-08-28,0.0,0.0,0.0
0.0,2.0,0.0617923513054847,82.0,DR,2021-08-13,0.0555610507726669,0.0,1.0
1.0,5.0,0.26563408225774754,1001.0,,,0.1769325286149978,0.0,3.0
0.08991008991008992,0.4495504495504496,0.023883184218978303,1001.0,,,0.01590801955579401,0.0,0.26973026973026976
