assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,0.0,0.0,0.0,247.0,214,0.0,0.0,0.0,0.0,2022-01-16T14:00:00Z,0.0,3,0.0,0.0,0.0,0.0,22,0.0,2212.0,0,3,0.0,0.0,-13,0,13,44,True,0.0
0.0,0.0,0.0,0.0,0.0,247.0,224,0.0,0.0,0.0,0.0,2022-01-23T14:00:00Z,0.0,7,0.0,0.0,0.0,0.0,23,0.0,2202.0,3,1,0.0,0.0,-10,0,10,44,False,0.0
0.0,0.0,0.0,0.0,0.0,247.0,237,0.0,0.0,0.0,0.0,2022-02-10T19:45:00Z,0.0,9,0.0,0.0,0.0,0.0,24,0.0,2194.0,0,2,0.0,0.0,-9,0,9,44,True,0.0
0.0,0.0,0.0,0.0,0.0,247.0,242,0.0,0.0,0.0,0.0,2022-02-13T14:00:00Z,0.0,5,0.0,0.0,0.0,0.0,25,0.0,2189.0,1,0,0.0,0.0,-5,0,5,44,False,0.0
0.0,0.0,0.0,0.0,0.0,247.0,256,0.0,0.0,0.0,0.0,2022-02-19T15:00:00Z,0.0,15,0.0,0.0,0.0,0.0,26,0.0,2185.0,1,3,0.0,0.0,-4,0,4,44,True,0.0
0.0,0.0,0.0,0.0,0.0,247.0,184,0.0,0.0,0.0,0.0,2022-02-23T19:45:00Z,0.0,10,0.0,0.0,0.0,0.0,26,0.0,2185.0,0,6,0.0,0.0,-4,0,4,44,True,0.0
0.0,0.0,0.0,0.0,0.0,247.0,274,0.0,0.0,0.0,0.0,2022-03-05T17:30:00Z,0.0,19,0.0,0.0,0.0,0.0,28,0.0,2169.0,0,1,0.0,0.0,-12,0,12,44,True,0.0
0.0,0.0,0.0,0.0,0.0,247.0,283,0.0,0.0,0.0,0.0,2022-03-12T12:30:00Z,0.0,4,0.0,0.0,0.0,0.0,29,0.0,2165.0,2,0,0.0,0.0,-4,0,4,44,False,0.0
0.0,0.0,0.0,0.0,0.0,247.0,261,0.0,0.0,0.0,0.0,2022-03-16T20:15:00Z,0.0,1,0.0,0.0,0.0,0.0,29,0.0,2165.0,2,0,0.0,0.0,-4,0,4,44,False,0.0
0.0,0.0,0.0,0.0,0.0,247.0,306,0.0,0.0,0.0,0.0,2022-04-02T11:30:00Z,0.0,18,0.0,0.0,0.0,0.0,31,0.0,2154.0,0,2,0.0,0.0,-3,0,3,44,True,0.0
0.0,0.0,0.0,0.0,0.0,247.0,316,0.0,0.0,0.0,0.0,2022-04-10T15:30:00Z,0.0,12,0.0,0.0,0.0,0.0,32,0.0,2155.0,2,2,0.0,0.0,-1,0,1,44,False,0.0
0.0,0.0,0.0,0.0,0.0,247.0,294,0.0,0.0,0.0,0.0,2022-04-19T19:00:00Z,0.0,13,0.0,0.0,0.0,0.0,33,0.0,2153.0,0,4,0.0,0.0,-2,0,2,44,True,0.0
0.0,0.0,0.0,0.0,0.0,247.0,338,0.0,0.0,0.0,0.0,2022-04-24T15:30:00Z,0.0,8,0.0,0.0,0.0,0.0,34,0.0,2149.0,0,2,0.0,0.0,-4,0,4,44,True,0.0
0.0,0.0,0.0,0.0,0.0,247.0,345,0.0,0.0,0.0,0.0,2022-04-30T11:30:00Z,0.0,14,0.0,0.0,0.0,0.0,35,0.0,2144.0,1,0,0.0,0.0,-5,0,5,44,False,0.0
0.0,0.0,0.0,0.0,0.0,247.0,358,0.0,0.0,0.0,0.0,2022-05-07T18:45:00Z,0.0,17,0.0,0.0,0.0,0.0,36,0.0,2140.0,1,1,0.0,0.0,-4,0,4,44,True,0.0
0.0,0.0,0.0,0.0,0.0,247.0,321,0.0,0.0,0.0,0.0,2022-05-10T19:00:00Z,0.0,2,0.0,0.0,0.0,0.0,36,0.0,2140.0,2,1,0.0,0.0,-4,0,4,44,False,0.0
0.0,0.0,0.0,0.0,0.0,247.0,366,0.0,0.0,0.0,0.0,2022-05-17T18:45:00Z,0.0,16,0.0,0.0,0.0,0.0,37,0.0,2137.0,2,1,0.0,0.0,-3,0,3,44,False,0.0
0.0,0.0,0.0,0.0,0.0,247.0,378,0.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,0.0,20,0.0,0.0,0.0,0.0,38,0.0,2130.0,1,3,0.0,0.0,-6,0,6,44,True,0.0
0.0,0.0,0.0,0.0,0.0,9386.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,96086.0,,,0.0,0.0,,,,,,0.0
Games played: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
