assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,0.0,0.0,0.0,183.0,170,0.0,0.0,0.0,0.0,2021-12-14T20:00:00Z,0.0,12,0.0,0.0,0.0,0.0,17,0.0,427.0,0,7,0.0,0.0,-3,0,3,45,False,0.0
0.0,0.0,0.0,0.0,0.0,183.0,173,0.0,0.0,0.0,0.0,2021-12-18T17:30:00Z,0.0,1,0.0,0.0,0.0,0.0,18,0.0,426.0,4,1,0.0,0.0,-2,0,2,45,True,0.0
0.0,0.0,0.0,0.0,0.0,183.0,206,0.0,0.0,0.0,0.0,2022-01-02T14:00:00Z,0.0,5,0.0,0.0,0.0,0.0,21,0.0,423.0,1,3,0.0,0.0,-2,0,2,45,True,0.0
0.0,0.0,0.0,0.0,0.0,183.0,219,0.0,0.0,0.0,0.0,2022-01-16T14:00:00Z,0.0,19,0.0,0.0,0.0,0.0,22,0.0,420.0,3,2,0.0,0.0,-3,0,3,45,False,0.0
0.0,0.0,0.0,0.0,0.0,183.0,226,0.0,0.0,0.0,0.0,2022-01-22T15:00:00Z,0.0,14,0.0,0.0,0.0,0.0,23,0.0,420.0,1,0,0.0,0.0,0,0,0,45,True,0.0
0.0,0.0,0.0,0.0,0.0,183.0,231,0.0,0.0,0.0,0.0,2022-02-09T20:00:00Z,0.0,2,0.0,0.0,0.0,0.0,24,0.0,418.0,3,3,0.0,0.0,-2,0,2,45,False,0.0
0.0,0.0,0.0,0.0,0.0,183.0,244,0.0,0.0,0.0,0.0,2022-02-12T15:00:00Z,0.0,8,0.0,0.0,0.0,0.0,25,0.0,418.0,0,3,0.0,0.0,0,0,0,45,False,0.0
0.0,0.0,0.0,0.0,0.0,183.0,255,0.0,0.0,0.0,0.0,2022-02-20T14:00:00Z,0.0,13,0.0,0.0,0.0,0.0,26,0.0,416.0,4,2,0.0,0.0,-1,0,1,45,True,0.0
0.0,0.0,0.0,0.0,0.0,183.0,184,0.0,0.0,0.0,0.0,2022-02-23T19:45:00Z,0.0,11,0.0,0.0,0.0,0.0,26,0.0,416.0,0,6,0.0,0.0,-1,0,1,45,False,0.0
0.0,0.0,0.0,0.0,0.0,183.0,267,0.0,0.0,0.0,0.0,2022-02-26T12:30:00Z,0.0,17,0.0,0.0,0.0,0.0,27,0.0,415.0,4,0,0.0,0.0,-1,0,1,45,True,0.0
0.0,0.0,0.0,0.0,0.0,183.0,273,0.0,0.0,0.0,0.0,2022-03-05T12:30:00Z,0.0,9,0.0,0.0,0.0,0.0,28,0.0,414.0,0,1,0.0,0.0,-2,0,2,45,False,0.0
0.0,0.0,0.0,0.0,0.0,183.0,196,0.0,0.0,0.0,0.0,2022-03-10T19:45:00Z,0.0,2,0.0,0.0,0.0,0.0,28,0.0,414.0,3,0,0.0,0.0,-2,0,2,45,True,0.0
0.0,0.0,0.0,0.0,0.0,183.0,287,0.0,0.0,0.0,0.0,2022-03-13T14:00:00Z,0.0,15,0.0,0.0,0.0,0.0,29,0.0,412.0,1,2,0.0,0.0,-2,0,2,45,True,0.0
0.0,0.0,0.0,0.0,0.0,183.0,300,0.0,0.0,0.0,0.0,2022-03-18T20:00:00Z,0.0,20,0.0,0.0,0.0,0.0,30,0.0,412.0,3,2,0.0,0.0,0,0,0,45,False,0.0
0.0,0.0,0.0,0.0,0.0,183.0,305,0.0,0.0,0.0,0.0,2022-04-02T14:00:00Z,0.0,16,0.0,0.0,0.0,0.0,31,0.0,410.0,1,1,0.0,0.0,-2,0,2,45,True,0.0
0.0,0.0,0.0,0.0,0.0,183.0,320,0.0,0.0,0.0,0.0,2022-04-09T14:00:00Z,0.0,18,0.0,0.0,0.0,0.0,32,0.0,408.0,3,0,0.0,0.0,-2,0,2,45,False,0.0
0.0,0.0,0.0,0.0,0.0,183.0,336,0.0,0.0,0.0,0.0,2022-04-25T19:00:00Z,0.0,7,0.0,0.0,0.0,0.0,34,0.0,406.0,0,0,0.0,0.0,-1,0,1,45,False,0.0
0.0,0.0,0.0,0.0,0.0,183.0,343,0.0,0.0,0.0,0.0,2022-04-30T16:30:00Z,0.0,12,0.0,0.0,0.0,0.0,35,0.0,407.0,4,0,0.0,0.0,0,0,0,45,True,0.0
0.0,0.0,0.0,0.0,0.0,183.0,351,0.0,0.0,0.0,0.0,2022-05-08T13:00:00Z,0.0,1,0.0,0.0,0.0,0.0,36,0.0,405.0,1,2,0.0,0.0,-1,0,1,45,False,0.0
0.0,0.0,0.0,0.0,0.0,183.0,323,0.0,0.0,0.0,0.0,2022-05-11T18:30:00Z,0.0,6,0.0,0.0,0.0,0.0,36,0.0,405.0,3,0,0.0,0.0,-1,0,1,45,True,0.0
0.0,0.0,0.0,0.0,0.0,183.0,363,0.0,0.0,0.0,0.0,2022-05-15T13:00:00Z,0.0,4,0.0,0.0,0.0,0.0,37,0.0,404.0,1,1,0.0,0.0,-2,0,2,45,True,0.0
0.0,0.0,0.0,0.0,0.0,183.0,372,0.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,0.0,3,0.0,0.0,0.0,0.0,38,0.0,404.0,2,1,0.0,0.0,0,0,0,45,False,0.0
0.0,0.0,0.0,0.0,0.0,6954.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,17366.0,,,0.0,0.0,,,,,,0.0
Games played: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
