assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,0.0,0.0,0.0,322.0,160,0.0,0.0,0.0,0.0,2021-12-11T17:30:00Z,0.0,13,0.0,0.0,0.0,0.0,16,0.0,843.0,1,0,0.0,0.0,-17,0,17,54,True,0.0
0.0,0.0,0.0,0.0,0.0,322.0,167,0.0,0.0,0.0,0.0,2021-12-14T19:45:00Z,0.0,2,0.0,0.0,0.0,0.0,17,0.0,832.0,2,0,0.0,0.0,-9,0,9,54,True,0.0
0.0,0.0,0.0,0.0,0.0,322.0,187,0.0,0.0,0.0,0.0,2021-12-26T15:00:00Z,0.0,1,0.0,0.0,0.0,0.0,19,0.0,822.0,5,0,0.0,0.0,-7,0,7,54,True,0.0
0.0,0.0,0.0,0.0,0.0,322.0,194,0.0,0.0,0.0,0.0,2021-12-28T15:00:00Z,0.0,7,0.0,0.0,0.0,0.0,20,0.0,821.0,0,3,0.0,0.0,-4,0,4,54,False,0.0
0.0,0.0,0.0,0.0,0.0,322.0,179,0.0,0.0,0.0,0.0,2022-01-12T19:45:00Z,0.0,19,0.0,0.0,0.0,0.0,21,0.0,820.0,0,2,0.0,0.0,-1,0,1,54,False,0.0
0.0,0.0,0.0,0.0,0.0,322.0,217,0.0,0.0,0.0,0.0,2022-01-15T15:00:00Z,0.0,8,0.0,0.0,0.0,0.0,22,0.0,809.0,1,2,0.0,0.0,-8,0,8,54,True,0.0
0.0,0.0,0.0,0.0,0.0,322.0,230,0.0,0.0,0.0,0.0,2022-01-21T20:00:00Z,0.0,18,0.0,0.0,0.0,0.0,23,0.0,804.0,3,0,0.0,0.0,-8,0,8,54,False,0.0
0.0,0.0,0.0,0.0,0.0,322.0,234,0.0,0.0,0.0,0.0,2022-02-09T19:45:00Z,0.0,7,0.0,0.0,0.0,0.0,24,0.0,799.0,1,1,0.0,0.0,-5,0,5,54,True,0.0
0.0,0.0,0.0,0.0,0.0,322.0,248,0.0,0.0,0.0,0.0,2022-02-12T17:30:00Z,0.0,12,0.0,0.0,0.0,0.0,25,0.0,797.0,4,0,0.0,0.0,-2,0,2,54,True,0.0
0.0,0.0,0.0,0.0,0.0,322.0,256,0.0,0.0,0.0,0.0,2022-02-19T15:00:00Z,0.0,11,0.0,0.0,0.0,0.0,26,0.0,793.0,1,3,0.0,0.0,-4,0,4,54,False,0.0
0.0,0.0,0.0,0.0,0.0,322.0,269,0.0,0.0,0.0,0.0,2022-02-25T20:00:00Z,0.0,16,0.0,0.0,0.0,0.0,27,0.0,787.0,0,2,0.0,0.0,-4,0,4,54,False,0.0
0.0,0.0,0.0,0.0,0.0,322.0,277,0.0,0.0,0.0,0.0,2022-03-05T15:00:00Z,0.0,3,0.0,0.0,0.0,0.0,28,0.0,786.0,3,1,0.0,0.0,-3,0,3,54,True,0.0
0.0,0.0,0.0,0.0,0.0,322.0,297,0.0,0.0,0.0,0.0,2022-03-10T19:30:00Z,0.0,6,0.0,0.0,0.0,0.0,28,0.0,786.0,3,1,0.0,0.0,-3,0,3,54,True,0.0
0.0,0.0,0.0,0.0,0.0,322.0,287,0.0,0.0,0.0,0.0,2022-03-13T14:00:00Z,0.0,10,0.0,0.0,0.0,0.0,29,0.0,785.0,1,2,0.0,0.0,-1,0,1,54,False,0.0
0.0,0.0,0.0,0.0,0.0,322.0,301,0.0,0.0,0.0,0.0,2022-04-02T14:00:00Z,0.0,4,0.0,0.0,0.0,0.0,31,0.0,781.0,0,0,0.0,0.0,-1,0,1,54,False,0.0
0.0,0.0,0.0,0.0,0.0,322.0,318,0.0,0.0,0.0,0.0,2022-04-10T13:00:00Z,0.0,5,0.0,0.0,0.0,0.0,32,0.0,780.0,0,2,0.0,0.0,-1,0,1,54,True,0.0
0.0,0.0,0.0,0.0,0.0,322.0,324,0.0,0.0,0.0,0.0,2022-04-16T14:00:00Z,0.0,13,0.0,0.0,0.0,0.0,33,0.0,778.0,2,3,0.0,0.0,-2,0,2,54,False,0.0
0.0,0.0,0.0,0.0,0.0,322.0,340,0.0,0.0,0.0,0.0,2022-04-23T14:00:00Z,0.0,14,0.0,0.0,0.0,0.0,34,0.0,778.0,3,0,0.0,0.0,0,0,0,54,True,0.0
0.0,0.0,0.0,0.0,0.0,322.0,341,0.0,0.0,0.0,0.0,2022-04-30T14:00:00Z,0.0,2,0.0,0.0,0.0,0.0,35,0.0,778.0,0,2,0.0,0.0,0,0,0,54,False,0.0
0.0,0.0,0.0,0.0,0.0,322.0,360,0.0,0.0,0.0,0.0,2022-05-08T13:00:00Z,0.0,19,0.0,0.0,0.0,0.0,36,0.0,778.0,4,0,0.0,0.0,0,0,0,54,True,0.0
0.0,0.0,0.0,0.0,0.0,322.0,207,0.0,0.0,0.0,0.0,2022-05-11T18:45:00Z,0.0,9,0.0,0.0,0.0,0.0,36,0.0,778.0,0,3,0.0,0.0,0,0,0,54,False,0.0
0.0,0.0,0.0,0.0,0.0,322.0,370,0.0,0.0,0.0,0.0,2022-05-15T13:00:00Z,0.0,20,0.0,0.0,0.0,0.0,37,0.0,776.0,1,1,0.0,0.0,-2,0,2,54,False,0.0
0.0,0.0,0.0,0.0,0.0,322.0,380,0.0,0.0,0.0,0.0,2022-05-22T15:00:00Z,0.0,17,0.0,0.0,0.0,0.0,38,0.0,776.0,5,0,0.0,0.0,0,0,0,54,True,0.0
0.0,0.0,0.0,0.0,0.0,12236.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,39536.0,,,0.0,0.0,,,,,,0.0
Games played: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
