name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
João Félix Sequeira,Chelsea,Manchester City,True,0,0,0.0,0,False,-2.0,Chelsea,False,Fulham,-2.13
João Félix Sequeira,Chelsea,Fulham,False,57,-2,0.0,0,True,0.0,Chelsea,True,Crystal Palace,-1.51
João Félix Sequeira,Chelsea,Crystal Palace,True,0,0,0.0,0,False,0.0,Chelsea,False,Liverpool,0.96
João Félix Sequeira,Chelsea,Liverpool,False,0,0,0.0,0,False,0.0,Chelsea,True,Fulham,-1.08
João Félix Sequeira,Chelsea,Fulham,True,0,0,0.0,0,False,9.0,Chelsea,False,West Ham,2.89
João Félix Sequeira,Chelsea,West Ham,False,90,9,11.9,3,True,2.0,Chelsea,True,Southampton,-0.42
João Félix Sequeira,Chelsea,Southampton,True,90,2,3.3,0,True,2.0,Chelsea,False,Tottenham,-1.07
João Félix Sequeira,Chelsea,Tottenham,False,82,2,3.2,0,True,2.0,Chelsea,True,Leicester City,-0.96
João Félix Sequeira,Chelsea,Leicester City,True,67,2,2.9,0,True,1.0,Chelsea,False,Leeds United,-3.94
João Félix Sequeira,Chelsea,Leeds United,False,45,1,0.6,0,True,8.0,Chelsea,True,Everton,-2.38
João Félix Sequeira,Chelsea,Everton,True,85,8,9.7,2,True,2.0,Chelsea,True,Aston Villa,0.42
João Félix Sequeira,Chelsea,Aston Villa,True,90,2,8.6,0,True,2.0,Chelsea,True,Liverpool,-0.16
João Félix Sequeira,Chelsea,Liverpool,True,84,2,2.4,0,True,2.0,Chelsea,False,Wolverhampton,1.62
João Félix Sequeira,Chelsea,Wolverhampton,False,67,2,5.0,0,True,1.0,Chelsea,True,Brighton,-0.67
João Félix Sequeira,Chelsea,Brighton,True,33,1,0.5,0,False,1.0,Chelsea,True,Brentford,4.42
João Félix Sequeira,Chelsea,Brentford,True,11,1,0.1,0,False,0.0,Chelsea,False,Arsenal,1.29
João Félix Sequeira,Chelsea,Arsenal,False,0,0,0.0,0,False,7.0,Chelsea,False,Bournemouth,-1.53
João Félix Sequeira,Chelsea,Bournemouth,False,6,7,5.1,2,False,1.0,Chelsea,True,Nottingham Forest,1.3
João Félix Sequeira,Chelsea,Nottingham Forest,True,72,1,3.3,0,True,0.0,Chelsea,False,Manchester City,-0.89
João Félix Sequeira,Chelsea,Manchester City,False,0,0,0.0,0,False,5.0,Chelsea,False,Manchester United,1.87
João Félix Sequeira,Chelsea,Manchester United,False,26,5,5.3,0,False,1.0,Chelsea,True,Newcastle United,-0.99
João Félix Sequeira,Chelsea,Newcastle United,True,31,1,0.0,0,False,,Wolves,False,Manchester United,0.79
