name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty
Timo Werner,Chelsea,Everton,False,0,0,0.0,0,False,0,Chelsea,True,Wolverhampton,2.42
Timo Werner,Chelsea,Wolverhampton,True,0,0,0.0,0,False,0,Chelsea,False,Aston Villa,-1.51
Timo Werner,Chelsea,Aston Villa,False,0,0,0.0,0,False,0,Chelsea,False,Brentford,-0.66
Timo Werner,Chelsea,Brentford,False,0,0,0.0,0,False,0,Chelsea,True,Manchester United,-0.06
Timo Werner,Chelsea,Manchester United,True,0,0,0.0,0,False,0,Chelsea,False,Brighton,0.05
Timo Werner,Chelsea,Brighton,False,0,0,0.0,0,False,0,Chelsea,True,Arsenal,5.81
Timo Werner,Chelsea,Arsenal,True,0,0,0.0,0,False,0,Chelsea,False,Newcastle United,-1.55
Timo Werner,Chelsea,Newcastle United,False,0,0,0.0,0,False,0,Chelsea,True,Bournemouth,
Timo Werner,Chelsea,Bournemouth,True,0,0,0.0,0,False,0,Chelsea,False,Nottingham Forest,
Timo Werner,Chelsea,Nottingham Forest,False,0,0,0.0,0,False,0,Chelsea,True,Manchester City,1.05
Timo Werner,Chelsea,Manchester City,True,0,0,0.0,0,False,0,Chelsea,False,Fulham,
Timo Werner,Chelsea,Fulham,False,0,0,0.0,0,False,0,Chelsea,True,Tottenham,-1.77
Timo Werner,Chelsea,Tottenham,True,0,0,0.0,0,False,0,Chelsea,True,Crystal Palace,0.31
Timo Werner,Chelsea,Crystal Palace,True,0,0,0.0,0,False,0,Chelsea,False,Liverpool,0.32
Timo Werner,Chelsea,Liverpool,False,0,0,0.0,0,False,0,Chelsea,True,Fulham,
Timo Werner,Chelsea,Fulham,True,0,0,0.0,0,False,0,Chelsea,False,West Ham,4.47
Timo Werner,Chelsea,West Ham,False,0,0,0.0,0,False,0,Chelsea,True,Southampton,-1.13
Timo Werner,Chelsea,Southampton,True,0,0,0.0,0,False,0,Chelsea,False,Tottenham,-1.69
Timo Werner,Chelsea,Tottenham,False,0,0,0.0,0,False,0,Chelsea,True,Leicester City,1.12
Timo Werner,Chelsea,Leicester City,True,0,0,0.0,0,False,0,Chelsea,False,Leeds United,-3.0
Timo Werner,Chelsea,Leeds United,False,0,0,0.0,0,False,0,Chelsea,True,Everton,1.01
Timo Werner,Chelsea,Everton,True,0,0,0.0,0,False,0,Chelsea,True,Aston Villa,-2.49
Timo Werner,Chelsea,Aston Villa,True,0,0,0.0,0,False,0,Chelsea,True,Liverpool,
Timo Werner,Chelsea,Liverpool,True,0,0,0.0,0,False,0,Chelsea,False,Leicester City,5.06
Timo Werner,Chelsea,Leicester City,False,0,0,0.0,0,False,0,Chelsea,False,Wolverhampton,0.77
Timo Werner,Chelsea,Wolverhampton,False,0,0,0.0,0,False,0,Chelsea,True,Brighton,
Timo Werner,Chelsea,Brighton,True,0,0,0.0,0,False,0,Chelsea,True,Brentford,
Timo Werner,Chelsea,Brentford,True,0,0,0.0,0,False,0,Chelsea,False,Arsenal,-1.77
Timo Werner,Chelsea,Arsenal,False,0,0,0.0,0,False,0,Chelsea,False,Bournemouth,
Timo Werner,Chelsea,Bournemouth,False,0,0,0.0,0,False,0,Chelsea,True,Nottingham Forest,
Timo Werner,Chelsea,Nottingham Forest,True,0,0,0.0,0,False,0,Chelsea,False,Manchester City,
Timo Werner,Chelsea,Manchester City,False,0,0,0.0,0,False,0,Chelsea,False,Manchester United,
Timo Werner,Chelsea,Manchester United,False,0,0,0.0,0,False,0,Chelsea,True,Newcastle United,
Timo Werner,Chelsea,Newcastle United,True,0,0,0.0,0,False,0,Chelsea,True,Leeds United,-3.8
Timo Werner,Chelsea,Leeds United,True,0,0,0.0,0,False,0,Chelsea,False,Southampton,0.63
Timo Werner,Chelsea,Southampton,False,0,0,0.0,0,False,0,Chelsea,True,West Ham,-1.25
Timo Werner,Chelsea,West Ham,True,0,0,0.0,0,False,0,Chelsea,False,Crystal Palace,-1.84
Timo Werner,Chelsea,Crystal Palace,False,0,0,0.0,0,False,5,Spurs,False,Manchester United,2.15
