name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Terry Ablade,Fulham,West Ham,False,0,0,0.0,0,False,0.0,Fulham,True,Bournemouth,-0.74
Terry Ablade,Fulham,Bournemouth,True,0,0,0.0,0,False,0.0,Fulham,True,Aston Villa,-0.63
Terry Ablade,Fulham,Aston Villa,True,0,0,0.0,0,False,0.0,Fulham,False,Leicester City,-2.72
Terry Ablade,Fulham,Leicester City,False,0,0,0.0,0,False,0.0,Fulham,True,Everton,0.79
Terry Ablade,Fulham,Everton,True,0,0,0.0,0,False,0.0,Fulham,False,Manchester City,1.5
Terry Ablade,Fulham,Manchester City,False,0,0,0.0,0,False,0.0,Fulham,True,Manchester United,1.36
Terry Ablade,Fulham,Manchester United,True,0,0,0.0,0,False,0.0,Fulham,False,Crystal Palace,-1.05
Terry Ablade,Fulham,Crystal Palace,False,0,0,0.0,0,False,0.0,Fulham,True,Southampton,-0.67
Terry Ablade,Fulham,Southampton,True,0,0,0.0,0,False,0.0,Fulham,False,Leeds United,-2.01
Terry Ablade,Fulham,Leeds United,False,0,0,0.0,0,False,0.0,Fulham,True,Chelsea,1.22
Terry Ablade,Fulham,Chelsea,True,0,0,0.0,0,False,0.0,Fulham,False,Newcastle United,1.64
Terry Ablade,Fulham,Newcastle United,False,0,0,0.0,0,False,0.0,Fulham,True,Tottenham,-0.89
Terry Ablade,Fulham,Tottenham,True,0,0,0.0,0,False,0.0,Fulham,False,Chelsea,0.71
Terry Ablade,Fulham,Chelsea,False,0,0,0.0,0,False,0.0,Fulham,True,Nottingham Forest,-3.99
Terry Ablade,Fulham,Nottingham Forest,True,0,0,0.0,0,False,0.0,Fulham,False,Brighton,-0.55
Terry Ablade,Fulham,Brighton,False,0,0,0.0,0,False,0.0,Fulham,True,Wolverhampton,0.52
Terry Ablade,Fulham,Wolverhampton,True,0,0,0.0,0,False,0.0,Fulham,False,Brentford,0.07
Terry Ablade,Fulham,Brentford,False,0,0,0.0,0,False,0.0,Fulham,True,Arsenal,0.97
Terry Ablade,Fulham,Arsenal,True,0,0,0.0,0,False,0.0,Fulham,False,Bournemouth,3.99
Terry Ablade,Fulham,Bournemouth,False,0,0,0.0,0,False,0.0,Fulham,True,Brentford,1.56
Terry Ablade,Fulham,Brentford,True,0,0,0.0,0,False,0.0,Fulham,True,West Ham,-0.79
Terry Ablade,Fulham,West Ham,True,0,0,0.0,0,False,0.0,Fulham,False,Everton,-0.93
Terry Ablade,Fulham,Everton,False,0,0,0.0,0,False,0.0,Fulham,True,Leicester City,-2.18
Terry Ablade,Fulham,Leicester City,True,0,0,0.0,0,False,0.0,Fulham,False,Aston Villa,2.57
Terry Ablade,Fulham,Aston Villa,False,0,0,0.0,0,False,0.0,Fulham,True,Manchester City,2.68
Terry Ablade,Fulham,Manchester City,True,0,0,0.0,0,False,0.0,Fulham,False,Liverpool,0.28
Terry Ablade,Fulham,Liverpool,False,0,0,0.0,0,False,0.0,Fulham,True,Leeds United,0.24
Terry Ablade,Fulham,Leeds United,True,0,0,0.0,0,False,0.0,Fulham,False,Southampton,-1.16
Terry Ablade,Fulham,Southampton,False,0,0,0.0,0,False,0.0,Fulham,True,Crystal Palace,0.27
Terry Ablade,Fulham,Crystal Palace,True,0,0,0.0,0,False,0.0,Fulham,False,Manchester United,0.13
Terry Ablade,Fulham,Manchester United,False,0,0,0.0,0,False,0.0,Fulham,False,Arsenal,-0.68
Terry Ablade,Fulham,Arsenal,False,0,0,0.0,0,False,0.0,Fulham,True,Brighton,-2.78
Terry Ablade,Fulham,Brighton,True,0,0,0.0,0,False,0.0,Fulham,False,Tottenham,1.6
Terry Ablade,Fulham,Tottenham,False,0,0,0.0,0,False,0.0,Fulham,False,Nottingham Forest,1.93
Terry Ablade,Fulham,Nottingham Forest,False,0,0,0.0,0,False,0.0,Fulham,True,Newcastle United,3.13
Terry Ablade,Fulham,Newcastle United,True,0,0,0.0,0,False,,Chelsea,True,Liverpool,-0.16
