name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
John McGinn,Aston Villa,West Ham,2024-08-17,False,61.0,0.0,0.26,0.0,0.0,2.0,2.0,0.0,1.9,0.0,1.0,2.0,0.26,61.0,6.0,4.0,4.66,5.61,0.04,3.0,Aston Villa,True,Arsenal,,-0.32
John McGinn,Aston Villa,Arsenal,2024-08-24,True,64.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.3,0.0,1.0,2.5,0.13,62.5,6.0,4.0,4.66,5.61,0.04,1.0,Aston Villa,False,Leicester City,,-0.22
John McGinn,Aston Villa,Leicester City,2024-08-31,False,90.0,0.0,0.05,0.0,0.0,1.0,1.0,0.0,1.7,0.0,1.0,2.0,0.1,71.67,6.0,4.0,4.66,5.61,0.04,2.0,Aston Villa,True,Everton,,0.61
John McGinn,Aston Villa,Everton,2024-09-14,True,89.0,0.0,0.1,0.0,0.0,2.0,1.0,0.0,4.2,0.0,1.0,2.0,0.1,76.0,6.0,4.0,4.66,5.61,0.04,1.0,Aston Villa,True,Wolverhampton,,-0.08
John McGinn,Aston Villa,Wolverhampton,2024-09-21,True,45.0,0.0,0.04,0.0,0.0,1.0,1.0,0.0,0.7,0.0,1.0,1.8,0.09,69.8,6.0,4.0,4.66,5.61,0.04,0.0,Aston Villa,False,Ipswich Town,,
John McGinn,Aston Villa,Ipswich Town,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,1.4,0.04,58.17,6.0,4.0,4.66,5.61,0.04,0.0,Aston Villa,True,Manchester United,,0.39
John McGinn,Aston Villa,Manchester United,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.8,0.04,49.86,6.0,4.0,4.66,5.61,0.04,1.0,Aston Villa,False,Fulham,,0.53
John McGinn,Aston Villa,Fulham,2024-10-19,False,7.0,0.0,0.0,0.0,0.07,1.0,0.0,1.0,1.6,0.0,0.0,0.8,0.03,44.5,6.0,4.0,4.66,5.61,0.04,2.0,Aston Villa,True,Bournemouth,,0.84
John McGinn,Aston Villa,Bournemouth,2024-10-26,True,70.0,0.0,0.0,0.0,0.07,2.0,0.0,1.0,1.8,0.0,1.0,0.8,0.01,47.33,6.0,4.0,4.66,5.61,0.04,2.0,Aston Villa,False,Tottenham,,-0.3
John McGinn,Aston Villa,Tottenham,2024-11-03,False,80.0,0.0,0.05,0.0,0.02,2.0,2.0,1.0,2.7,0.0,1.0,1.0,0.01,50.6,6.0,4.0,4.66,5.61,0.04,1.0,Aston Villa,False,Liverpool,,-1.08
John McGinn,Aston Villa,Liverpool,2024-11-09,False,45.0,0.0,0.06,0.0,0.32,1.0,1.0,1.0,2.8,0.0,0.0,1.2,0.02,50.09,6.0,4.0,4.66,5.61,0.04,,Aston Villa,True,Crystal Palace,,0.88
,Aston Villa,,,,,,,,,,,,,,,,,,,,,,,,Aston Villa,False,Chelsea,,-0.9
,Aston Villa,,,,,,,,,,,,,,,,,,,,,,,,Aston Villa,True,Brentford,,0.54
