goals,shots,xG,time,position,date,xA,assists,key_passes
0.0,0.0,0.0,64.0,DMC,2023-05-28,0.0443487390875816,0.0,1.0
0.0,0.0,0.0,1.0,Sub,2023-05-25,0.0,0.0,0.0
0.0,0.0,0.0,83.0,MC,2023-05-21,0.014878524467349,0.0,1.0
0.0,0.0,0.0,45.0,Sub,2023-05-13,0.1127516999840736,1.0,1.0
0.0,0.0,0.0,25.0,Sub,2023-05-06,0.0,0.0,0.0
0.0,0.0,0.0,59.0,DMR,2023-04-01,0.0838119983673095,0.0,1.0
0.0,0.0,0.0,6.0,Sub,2023-03-18,0.0,0.0,0.0
0.0,0.0,0.0,79.0,DMR,2023-03-11,0.095254898071289,0.0,2.0
0.0,0.0,0.0,85.0,DMR,2023-03-04,0.4182910025119781,0.0,1.0
0.0,0.0,0.0,69.0,DMC,2023-02-26,0.0559468008577823,0.0,1.0
0.0,0.0,0.0,83.0,DMC,2023-02-11,0.0,0.0,0.0
0.0,0.0,0.0,6.0,DMR,2022-11-12,0.0,0.0,0.0
0.0,0.0,0.0,79.0,DMC,2022-11-06,0.0,0.0,0.0
0.0,1.0,0.0248873997479677,90.0,MC,2022-10-29,0.1510169953107834,0.0,2.0
0.0,2.0,0.0435765981674194,80.0,MC,2022-10-22,0.0,0.0,0.0
0.0,1.0,0.0201753005385398,90.0,DMR,2022-10-19,0.0,0.0,0.0
0.0,0.0,0.0,90.0,MC,2022-10-16,0.0,0.0,0.0
0.0,1.0,0.0871229991316795,69.0,DMC,2022-10-08,0.5197880268096924,0.0,2.0
0.0,0.0,0.0,28.0,Sub,2022-10-01,0.0,0.0,0.0
0.0,0.0,0.0,85.0,DMC,2022-09-03,0.0,0.0,0.0
0.0,0.0,0.0,48.0,MC,2022-08-30,0.0,0.0,0.0
0.0,1.0,0.4394339919090271,90.0,MR,2022-08-27,0.0,0.0,0.0
0.0,2.0,0.1394540071487426,90.0,DMR,2022-08-21,0.0577232018113136,0.0,1.0
0.0,1.0,0.1017469987273216,90.0,DMR,2022-08-14,0.2021040022373199,0.0,2.0
0.0,0.0,0.0,16.0,Sub,2022-08-06,0.0,0.0,0.0
0.0,9.0,0.8563972953706978,1550.0,,,1.7559158895164724,1.0,15.0
0.0,0.5225806451612903,0.04972629456991148,1550.0,,,0.10195640648805324,0.05806451612903226,0.8709677419354839
