name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA
Nick Pope,Burnley,Brighton,2021-08-14,True,90,2,4,0,2,0,False,0.0
Nick Pope,Burnley,Brentford,2021-10-30,True,90,1,3,0,3,0,False,0.0
Nick Pope,Burnley,Chelsea,2021-11-06,False,90,1,4,0,3,0,False,0.0480509921908378
Nick Pope,Burnley,Crystal Palace,2021-11-20,True,90,3,5,0,2,0,False,0.0
Nick Pope,Burnley,Wolverhampton,2021-12-01,False,90,0,2,0,6,0,True,0.0
Nick Pope,Burnley,Newcastle United,2021-12-04,False,90,1,3,0,3,0,False,0.0
Nick Pope,Burnley,West Ham,2021-12-12,True,90,0,3,0,9,2,True,0.0
Nick Pope,Burnley,Liverpool,2021-08-21,False,90,2,6,0,3,0,False,0.0
Nick Pope,Burnley,Arsenal,2022-01-23,False,90,0,5,0,10,3,True,0.0
Nick Pope,Burnley,Watford,2022-02-05,True,90,0,5,0,9,2,True,0.0
Nick Pope,Burnley,Manchester United,2022-02-08,True,90,1,4,0,3,0,False,0.0
Nick Pope,Burnley,Liverpool,2022-02-13,True,90,1,3,0,3,0,False,0.0
Nick Pope,Burnley,Brighton,2022-02-19,False,90,0,1,0,7,1,True,0.0225613191723823
Nick Pope,Burnley,Tottenham,2022-02-23,True,90,0,2,0,6,0,True,0.0
Nick Pope,Burnley,Crystal Palace,2022-02-26,False,90,1,3,0,3,0,False,0.0
Nick Pope,Burnley,Leeds United,2022-03-01,True,90,2,4,0,2,0,False,0.0
Nick Pope,Burnley,Chelsea,2022-03-05,True,90,4,1,0,0,0,False,0.0
Nick Pope,Burnley,Brentford,2022-03-12,False,90,2,1,0,1,0,False,0.0
Nick Pope,Burnley,Leicester City,2021-08-29,True,90,1,1,0,2,0,False,0.0
Nick Pope,Burnley,Manchester City,2022-04-02,True,90,2,4,0,2,0,False,0.0
Nick Pope,Burnley,Everton,2022-04-06,True,90,2,2,0,1,0,False,0.0
Nick Pope,Burnley,Norwich,2022-04-10,False,90,2,4,0,2,0,False,0.0
Nick Pope,Burnley,West Ham,2022-04-17,False,90,1,5,0,3,0,False,0.0
Nick Pope,Burnley,Southampton,2022-04-21,True,90,0,3,0,7,0,True,0.0
Nick Pope,Burnley,Wolverhampton,2022-04-24,True,90,0,4,0,10,3,True,0.0
Nick Pope,Burnley,Watford,2022-04-30,False,90,1,1,0,2,0,False,0.0
Nick Pope,Burnley,Aston Villa,2022-05-07,True,90,3,4,0,2,0,False,0.0
Nick Pope,Burnley,Tottenham,2022-05-15,False,90,1,6,0,3,0,False,0.0
Nick Pope,Burnley,Aston Villa,2022-05-19,False,90,1,8,0,5,1,False,0.0
Nick Pope,Burnley,Newcastle United,2022-05-22,True,90,2,4,0,2,0,False,0.0
Nick Pope,Burnley,Everton,2021-09-13,False,90,3,3,0,2,0,False,0.0
Nick Pope,Burnley,Arsenal,2021-09-18,True,90,1,2,0,2,0,False,0.0
Nick Pope,Burnley,Leeds United,2021-09-25,False,90,2,2,0,1,0,False,0.0
Nick Pope,Burnley,Norwich,2021-10-02,True,90,0,2,0,6,0,True,0.0
Nick Pope,Burnley,Manchester City,2021-10-16,False,90,2,4,0,2,0,False,0.0
Nick Pope,Burnley,Southampton,2021-10-23,False,90,2,2,0,1,0,False,0.0
