name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA
Hugo Lloris,Spurs,Manchester City,2021-08-15,True,90,0,4,0,10,3,True,0.0
Hugo Lloris,Spurs,Manchester United,2021-10-30,True,90,3,1,0,1,0,False,0.0
Hugo Lloris,Spurs,Everton,2021-11-07,False,90,0,2,0,6,0,True,0.0
Hugo Lloris,Spurs,Leicester City,2021-11-21,True,90,1,6,0,4,0,False,0.0
Hugo Lloris,Spurs,Brentford,2021-12-02,True,90,0,2,0,7,1,True,0.0
Hugo Lloris,Spurs,Norwich,2021-12-05,True,90,0,1,0,6,0,True,0.0
Hugo Lloris,Spurs,Liverpool,2021-12-19,True,90,2,4,0,2,0,False,0.0
Hugo Lloris,Spurs,Crystal Palace,2021-12-26,True,90,0,0,0,6,0,True,0.0
Hugo Lloris,Spurs,Wolverhampton,2021-08-22,False,90,0,6,0,11,3,True,0.0309525467455387
Hugo Lloris,Spurs,Southampton,2021-12-28,False,90,1,1,0,2,0,False,0.0
Hugo Lloris,Spurs,Watford,2022-01-01,False,90,0,4,0,8,1,True,0.0
Hugo Lloris,Spurs,Leeds United,2022-01-19,False,90,2,2,0,1,0,False,0.0
Hugo Lloris,Spurs,Chelsea,2022-01-23,False,90,2,5,0,2,0,False,0.0
Hugo Lloris,Spurs,Southampton,2022-02-09,True,90,3,6,0,3,0,False,0.0
Hugo Lloris,Spurs,Wolverhampton,2022-02-13,True,90,2,5,0,2,0,False,0.0
Hugo Lloris,Spurs,Manchester City,2022-02-19,False,90,2,2,0,0,0,False,0.0
Hugo Lloris,Spurs,Burnley,2022-02-23,False,90,1,3,0,3,0,False,0.0
Hugo Lloris,Spurs,Leicester City,2022-02-26,False,90,0,2,0,6,0,True,0.0
Hugo Lloris,Spurs,Everton,2022-03-07,True,90,0,0,0,6,0,True,0.0
Hugo Lloris,Spurs,Manchester United,2022-03-12,False,90,3,3,0,2,0,False,0.0
Hugo Lloris,Spurs,Brighton,2022-03-16,False,90,0,0,0,6,0,True,0.0
Hugo Lloris,Spurs,Watford,2021-08-29,True,90,0,2,0,6,0,True,0.0
Hugo Lloris,Spurs,West Ham,2022-03-20,True,90,1,0,0,2,0,False,0.0
Hugo Lloris,Spurs,Newcastle United,2022-04-03,True,90,1,0,0,2,0,False,0.0
Hugo Lloris,Spurs,Aston Villa,2022-04-09,False,90,0,8,0,10,2,True,0.0
Hugo Lloris,Spurs,Brighton,2022-04-16,True,90,1,3,0,3,0,False,0.0
Hugo Lloris,Spurs,Brentford,2022-04-23,False,90,0,1,0,6,0,True,0.0
Hugo Lloris,Spurs,Leeds United,2022-05-01,True,90,1,1,0,2,0,False,0.0
Hugo Lloris,Spurs,Liverpool,2022-05-07,False,90,1,2,0,2,0,False,0.0
Hugo Lloris,Spurs,Arsenal,2022-05-12,True,90,0,4,0,8,1,True,0.0
Hugo Lloris,Spurs,Burnley,2022-05-15,True,90,0,1,0,5,0,True,0.0
Hugo Lloris,Spurs,Norwich,2022-05-22,False,90,0,0,0,6,0,True,0.0
Hugo Lloris,Spurs,Crystal Palace,2021-09-11,False,90,3,1,0,1,0,False,0.0
Hugo Lloris,Spurs,Chelsea,2021-09-19,True,90,3,6,0,3,0,False,0.0
Hugo Lloris,Spurs,Arsenal,2021-09-26,False,90,3,4,0,2,0,False,0.0
Hugo Lloris,Spurs,Aston Villa,2021-10-03,True,90,1,2,0,2,0,False,0.1753717511892318
Hugo Lloris,Spurs,Newcastle United,2021-10-17,False,90,2,0,0,1,0,False,0.0
Hugo Lloris,Spurs,West Ham,2021-10-24,False,90,1,3,0,3,0,False,0.0
