name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,saves_per_game,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,last_season_total_saves,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Cameron Plain,Bournemouth,Tottenham,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Leicester City,,-0.05
Cameron Plain,Bournemouth,Leicester City,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,Everton,,0.34
Cameron Plain,Bournemouth,Everton,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Chelsea,,-0.72
Cameron Plain,Bournemouth,Chelsea,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,Crystal Palace,,0.81
Cameron Plain,Bournemouth,Crystal Palace,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Manchester United,,-0.1
Cameron Plain,Bournemouth,Manchester United,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Brentford,,-0.55
Cameron Plain,Bournemouth,Brentford,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,Nottingham Forest,,
Cameron Plain,Bournemouth,Nottingham Forest,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Brighton,,-0.39
Cameron Plain,Bournemouth,Brighton,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,Newcastle United,,0.73
Cameron Plain,Bournemouth,Newcastle United,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Wolverhampton,,-0.46
Cameron Plain,Bournemouth,Wolverhampton,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,Manchester City,,-1.17
Cameron Plain,Bournemouth,Manchester City,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Arsenal,,-0.0
Cameron Plain,Bournemouth,Arsenal,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,Liverpool,,-0.53
Cameron Plain,Bournemouth,Liverpool,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Aston Villa,,0.59
Cameron Plain,Bournemouth,Aston Villa,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,Fulham,,-0.3
Cameron Plain,Bournemouth,Fulham,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,Brighton,,-0.71
Cameron Plain,Bournemouth,Brighton,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Leeds United,,-0.8
Cameron Plain,Bournemouth,Leeds United,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Tottenham,,-0.03
Cameron Plain,Bournemouth,Tottenham,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,West Ham,,0.63
Cameron Plain,Bournemouth,West Ham,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Southampton,,-1.07
Cameron Plain,Bournemouth,Southampton,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,Leicester City,,0.83
Cameron Plain,Bournemouth,Leicester City,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,Chelsea,,-0.25
Cameron Plain,Bournemouth,Chelsea,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Crystal Palace,,0.13
Cameron Plain,Bournemouth,Crystal Palace,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,True,Manchester United,,0.38
Cameron Plain,Bournemouth,Manchester United,,True,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,0.0,Bournemouth,False,Everton,,-0.63
Cameron Plain,Bournemouth,Everton,,False,0,0,0.0,0,0,0,0,False,,False,0.0,0.0,0.0,0,0,0,0,,Aston Villa,False,Newcastle United,6.5,-0.34
