assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0.0,0.0,0.0,0.0,0.0,551.0,20,0.0,0.0,0.0,0.0,2020-09-26T19:00:00Z,0.0,16,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0,0.0,0.0,0,0,0,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,36,0.0,0.0,0.0,0.0,2020-10-03T19:00:00Z,0.0,14,0.0,0.0,0.0,0.0,4,0.0,202.0,1,3,0.0,0.0,83,107,24,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,48,0.0,0.0,0.0,0.0,2020-10-19T16:30:00Z,0.0,18,0.0,0.0,0.0,0.0,5,0.0,340.0,0,0,0.0,0.0,34,101,67,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,52,0.0,0.0,0.0,0.0,2020-10-26T20:00:00Z,0.0,17,0.0,0.0,0.0,0.0,6,0.0,432.0,1,0,0.0,0.0,43,95,52,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,60,0.0,0.0,0.0,0.0,2020-10-31T15:00:00Z,0.0,5,0.0,0.0,0.0,0.0,7,0.0,503.0,3,0,0.0,0.0,11,92,81,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,70,0.0,0.0,0.0,0.0,2020-11-06T17:30:00Z,0.0,3,0.0,0.0,0.0,0.0,8,0.0,508.0,0,0,0.0,0.0,-29,51,80,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,80,0.0,0.0,0.0,0.0,2020-11-23T17:30:00Z,0.0,6,0.0,0.0,0.0,0.0,9,0.0,586.0,0,1,0.0,0.0,8,72,64,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,95,0.0,0.0,0.0,0.0,2020-11-28T15:00:00Z,0.0,12,0.0,0.0,0.0,0.0,10,0.0,661.0,0,5,0.0,0.0,31,108,77,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,101,0.0,0.0,0.0,0.0,2020-12-05T12:30:00Z,0.0,7,0.0,0.0,0.0,0.0,11,0.0,749.0,1,1,0.0,0.0,44,170,126,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,109,0.0,0.0,0.0,0.0,2020-12-13T19:15:00Z,0.0,1,0.0,0.0,0.0,0.0,12,0.0,732.0,1,0,0.0,0.0,-37,73,110,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,120,0.0,0.0,0.0,0.0,2020-12-17T18:00:00Z,0.0,2,0.0,0.0,0.0,0.0,13,0.0,728.0,0,0,0.0,0.0,-29,28,57,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,130,0.0,0.0,0.0,0.0,2020-12-21T17:30:00Z,0.0,20,0.0,0.0,0.0,0.0,14,0.0,714.0,1,2,0.0,0.0,-24,29,53,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,142,0.0,0.0,0.0,0.0,2020-12-27T12:00:00Z,0.0,10,0.0,0.0,0.0,0.0,15,0.0,781.0,0,1,0.0,0.0,12,69,57,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,150,0.0,0.0,0.0,0.0,2020-12-29T18:00:00Z,0.0,15,0.0,0.0,0.0,0.0,16,0.0,802.0,0,1,0.0,0.0,-1,40,41,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,379,0.0,0.0,0.0,0.0,2021-01-12T20:15:00Z,0.0,13,0.0,0.0,0.0,0.0,18,0.0,911.0,1,0,0.0,0.0,3,92,89,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,187,0.0,0.0,0.0,0.0,2021-01-16T15:00:00Z,0.0,19,0.0,0.0,0.0,0.0,19,0.0,846.0,0,1,0.0,0.0,-11,35,46,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,177,0.0,0.0,0.0,0.0,2021-01-21T20:00:00Z,0.0,11,0.0,0.0,0.0,0.0,19,0.0,846.0,1,0,0.0,0.0,-11,35,46,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,190,0.0,0.0,0.0,0.0,2021-01-27T18:00:00Z,0.0,2,0.0,0.0,0.0,0.0,20,0.0,848.0,2,3,0.0,0.0,-14,43,57,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,201,0.0,0.0,0.0,0.0,2021-01-31T12:00:00Z,0.0,5,0.0,0.0,0.0,0.0,21,0.0,826.0,0,2,0.0,0.0,-43,12,55,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,210,0.0,0.0,0.0,0.0,2021-02-03T18:00:00Z,0.0,12,0.0,0.0,0.0,0.0,22,0.0,820.0,2,0,0.0,0.0,-17,28,45,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,220,0.0,0.0,0.0,0.0,2021-02-06T15:00:00Z,0.0,3,0.0,0.0,0.0,0.0,23,0.0,741.0,1,1,0.0,0.0,-76,1,77,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,232,0.0,0.0,0.0,0.0,2021-02-13T15:00:00Z,0.0,6,0.0,0.0,0.0,0.0,24,0.0,709.0,3,0,0.0,0.0,-33,0,33,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,160,0.0,0.0,0.0,0.0,2021-02-17T18:00:00Z,0.0,8,0.0,0.0,0.0,0.0,24,0.0,709.0,1,1,0.0,0.0,-33,0,33,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,242,0.0,0.0,0.0,0.0,2021-02-20T15:00:00Z,0.0,18,0.0,0.0,0.0,0.0,25,0.0,687.0,0,0,0.0,0.0,-25,0,25,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,257,0.0,0.0,0.0,0.0,2021-02-28T14:00:00Z,0.0,17,0.0,0.0,0.0,0.0,26,0.0,672.0,0,4,0.0,0.0,-15,0,15,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,280,0.0,0.0,0.0,0.0,2021-03-03T18:00:00Z,0.0,9,0.0,0.0,0.0,0.0,26,0.0,672.0,1,1,0.0,0.0,-15,0,15,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,261,0.0,0.0,0.0,0.0,2021-03-06T12:30:00Z,0.0,1,0.0,0.0,0.0,0.0,27,0.0,664.0,1,1,0.0,0.0,-9,0,9,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,271,0.0,0.0,0.0,0.0,2021-03-13T17:30:00Z,0.0,7,0.0,0.0,0.0,0.0,28,0.0,657.0,2,1,0.0,0.0,-7,0,7,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,297,0.0,0.0,0.0,0.0,2021-04-04T11:00:00Z,0.0,16,0.0,0.0,0.0,0.0,30,0.0,645.0,2,3,0.0,0.0,-2,0,2,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,300,0.0,0.0,0.0,0.0,2021-04-11T11:00:00Z,0.0,14,0.0,0.0,0.0,0.0,31,0.0,643.0,2,1,0.0,0.0,-2,0,2,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,315,0.0,0.0,0.0,0.0,2021-04-18T15:00:00Z,0.0,13,0.0,0.0,0.0,0.0,32,0.0,637.0,1,3,0.0,0.0,-6,0,6,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,328,0.0,0.0,0.0,0.0,2021-04-25T11:00:00Z,0.0,20,0.0,0.0,0.0,0.0,33,0.0,636.0,4,0,0.0,0.0,-1,0,1,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,330,0.0,0.0,0.0,0.0,2021-05-03T19:15:00Z,0.0,19,0.0,0.0,0.0,0.0,34,0.0,633.0,2,1,0.0,0.0,-3,0,3,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,341,0.0,0.0,0.0,0.0,2021-05-10T19:00:00Z,0.0,8,0.0,0.0,0.0,0.0,35,0.0,631.0,2,0,0.0,0.0,-2,0,2,45,False,0.0
0.0,0.0,0.0,0.0,0.0,551.0,350,0.0,0.0,0.0,0.0,2021-05-15T11:30:00Z,0.0,10,0.0,0.0,0.0,0.0,36,0.0,630.0,4,0,0.0,0.0,-1,0,1,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,360,0.0,0.0,0.0,0.0,2021-05-19T19:15:00Z,0.0,11,0.0,0.0,0.0,0.0,37,0.0,629.0,3,0,0.0,0.0,-1,0,1,45,True,0.0
0.0,0.0,0.0,0.0,0.0,551.0,376,0.0,0.0,0.0,0.0,2021-05-23T15:00:00Z,0.0,15,0.0,0.0,0.0,0.0,38,0.0,626.0,0,1,0.0,0.0,-2,0,2,45,False,0.0
0.0,0.0,0.0,0.0,0.0,20387.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,24056.0,,,0.0,0.0,,,,,,0.0
Games played: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
